"name","slug","description","TERMID","municilality","municipality_name"
"会場テスト","%e4%bc%9a%e5%a0%b4%e3%83%86%e3%82%b9%e3%83%88",,"7",,
"東京会場","%e6%9d%b1%e4%ba%ac%e4%bc%9a%e5%a0%b4",,"10",,
"東京文化会館","%e6%9d%b1%e4%ba%ac%e6%96%87%e5%8c%96%e4%bc%9a%e9%a4%a8",,"11",,
"東京都写真美術館","%e6%9d%b1%e4%ba%ac%e9%83%bd%e5%86%99%e7%9c%9f%e7%be%8e%e8%a1%93%e9%a4%a8",,"19",,
"葛飾区立柴原小学校","%e8%91%9b%e9%a3%be%e5%8c%ba%e7%ab%8b%e6%9f%b4%e5%8e%9f%e5%b0%8f%e5%ad%a6%e6%a0%a1",,"303",,
"都立木場公園","%e9%83%bd%e7%ab%8b%e6%9c%a8%e5%a0%b4%e5%85%ac%e5%9c%92",,"304",,
"東京都現代美術館","%e6%9d%b1%e4%ba%ac%e9%83%bd%e7%8f%be%e4%bb%a3%e7%be%8e%e8%a1%93%e9%a4%a8",,"305",,
"品川区立小山小学校","%e5%93%81%e5%b7%9d%e5%8c%ba%e7%ab%8b%e5%b0%8f%e5%b1%b1%e5%b0%8f%e5%ad%a6%e6%a0%a1",,"307",,
"墨田区立緑小学校","%e5%a2%a8%e7%94%b0%e5%8c%ba%e7%ab%8b%e7%b7%91%e5%b0%8f%e5%ad%a6%e6%a0%a1",,"308",,
"港区立笄小学校","%e6%b8%af%e5%8c%ba%e7%ab%8b%e7%ac%84%e5%b0%8f%e5%ad%a6%e6%a0%a1",,"309",,
"大田区立開桜小学校","%e5%a4%a7%e7%94%b0%e5%8c%ba%e7%ab%8b%e9%96%8b%e6%a1%9c%e5%b0%8f%e5%ad%a6%e6%a0%a1",,"310",,
"東京都立八王子盲学校","%e6%9d%b1%e4%ba%ac%e9%83%bd%e7%ab%8b%e5%85%ab%e7%8e%8b%e5%ad%90%e7%9b%b2%e5%ad%a6%e6%a0%a1",,"311",,
"杉並区立大宮小学校","%e6%9d%89%e4%b8%a6%e5%8c%ba%e7%ab%8b%e5%a4%a7%e5%ae%ae%e5%b0%8f%e5%ad%a6%e6%a0%a1",,"312",,
"港区立青山小学校","%e6%b8%af%e5%8c%ba%e7%ab%8b%e9%9d%92%e5%b1%b1%e5%b0%8f%e5%ad%a6%e6%a0%a1",,"313",,
"東京都立久留米特別支援学校","%e6%9d%b1%e4%ba%ac%e9%83%bd%e7%ab%8b%e4%b9%85%e7%95%99%e7%b1%b3%e7%89%b9%e5%88%a5%e6%94%af%e6%8f%b4%e5%ad%a6%e6%a0%a1",,"321",,
"調布市立第一小学校","%e8%aa%bf%e5%b8%83%e5%b8%82%e7%ab%8b%e7%ac%ac%e4%b8%80%e5%b0%8f%e5%ad%a6%e6%a0%a1",,"322",,
"桐朋学園小学校","%e6%a1%90%e6%9c%8b%e5%ad%a6%e5%9c%92%e5%b0%8f%e5%ad%a6%e6%a0%a1",,"323",,
"東星学園小学校","%e6%9d%b1%e6%98%9f%e5%ad%a6%e5%9c%92%e5%b0%8f%e5%ad%a6%e6%a0%a1",,"324",,
"八王子市立第五小学校","%e5%85%ab%e7%8e%8b%e5%ad%90%e5%b8%82%e7%ab%8b%e7%ac%ac%e4%ba%94%e5%b0%8f%e5%ad%a6%e6%a0%a1",,"325",,
