"post_title","ID","post_content","post_excerpt","post_date","post_name","post_author","post_status","featured_image","nextgen-gallery","post_parent","municilality","municipality_name"
"テスト会場★削除★使用しないこと ","909",,,"2019-02-19 20:44:44","%e3%83%86%e3%82%b9%e3%83%88%e4%bc%9a%e5%a0%b4","Demo_staff","publish",,,"0","都外","35"
"テスト会場★削除★使用しないこと ","910",,,"2019-02-19 20:44:00","%e3%83%86%e3%82%b9%e3%83%88%e4%bc%9a%e5%a0%b4-2","Demo_staff","publish",,,"0","都外",
"会場テスト★削除★使用しないこと ","911",,,"2019-02-19 20:57:16","%e4%bc%9a%e5%a0%b4%e3%83%86%e3%82%b9%e3%83%88","Demo_staff","publish",,,"0","都内-区",
"東京会場★削除★使用しないこと ","912",,,"2019-02-19 20:57:17","%e6%9d%b1%e4%ba%ac%e4%bc%9a%e5%a0%b4","Demo_staff","publish",,,"0","都内-区",
"東京文化会館","913",,,"2019-02-19 20:57:17","%e6%9d%b1%e4%ba%ac%e6%96%87%e5%8c%96%e4%bc%9a%e9%a4%a8","Demo_staff","publish",,,"0","都内-区","189"
"東京都写真美術館","914",,,"2019-02-19 20:57:18","%e6%9d%b1%e4%ba%ac%e9%83%bd%e5%86%99%e7%9c%9f%e7%be%8e%e8%a1%93%e9%a4%a8","Demo_staff","publish",,,"0","都内-区","99"
"葛飾区立柴原小学校","915",,,"2019-02-19 20:57:19","%e8%91%9b%e9%a3%be%e5%8c%ba%e7%ab%8b%e6%9f%b4%e5%8e%9f%e5%b0%8f%e5%ad%a6%e6%a0%a1","Demo_staff","publish",,,"0","都内-区","542"
"都立木場公園","916",,,"2019-02-19 20:57:19","%e9%83%bd%e7%ab%8b%e6%9c%a8%e5%a0%b4%e5%85%ac%e5%9c%92","Demo_staff","publish",,,"0","都内-区","168"
"東京都現代美術館","917",,,"2019-02-19 20:57:19","%e6%9d%b1%e4%ba%ac%e9%83%bd%e7%8f%be%e4%bb%a3%e7%be%8e%e8%a1%93%e9%a4%a8","Demo_staff","publish",,,"0","都内-区","168"
"品川区立小山小学校","918",,,"2019-02-19 20:57:20","%e5%93%81%e5%b7%9d%e5%8c%ba%e7%ab%8b%e5%b0%8f%e5%b1%b1%e5%b0%8f%e5%ad%a6%e6%a0%a1","Demo_staff","publish",,,"0","都内-区","555"
"墨田区立緑小学校","919",,,"2019-02-19 20:57:20","%e5%a2%a8%e7%94%b0%e5%8c%ba%e7%ab%8b%e7%b7%91%e5%b0%8f%e5%ad%a6%e6%a0%a1","Demo_staff","publish",,,"0","都内-区","129"
"港区立笄小学校","920",,,"2019-02-19 20:57:21","%e6%b8%af%e5%8c%ba%e7%ab%8b%e7%ac%84%e5%b0%8f%e5%ad%a6%e6%a0%a1","Demo_staff","publish",,,"0","都内-区","124"
"大田区立開桜小学校","921",,,"2019-02-19 20:57:21","%e5%a4%a7%e7%94%b0%e5%8c%ba%e7%ab%8b%e9%96%8b%e6%a1%9c%e5%b0%8f%e5%ad%a6%e6%a0%a1","Demo_staff","publish",,,"0","都内-区","545"
"東京都立八王子盲学校","922",,,"2019-02-19 20:57:22","%e6%9d%b1%e4%ba%ac%e9%83%bd%e7%ab%8b%e5%85%ab%e7%8e%8b%e5%ad%90%e7%9b%b2%e5%ad%a6%e6%a0%a1","Demo_staff","publish",,,"0","都内-市","569"
"杉並区立大宮小学校","923",,,"2019-02-19 20:57:23","%e6%9d%89%e4%b8%a6%e5%8c%ba%e7%ab%8b%e5%a4%a7%e5%ae%ae%e5%b0%8f%e5%ad%a6%e6%a0%a1","Demo_staff","publish",,,"0","都内-区","571"
"港区立青山小学校","924",,,"2019-02-19 20:57:23","%e6%b8%af%e5%8c%ba%e7%ab%8b%e9%9d%92%e5%b1%b1%e5%b0%8f%e5%ad%a6%e6%a0%a1","Demo_staff","publish",,,"0","都内-区","124"
"東京都立久留米特別支援学校","925",,,"2019-02-19 20:57:23","%e6%9d%b1%e4%ba%ac%e9%83%bd%e7%ab%8b%e4%b9%85%e7%95%99%e7%b1%b3%e7%89%b9%e5%88%a5%e6%94%af%e6%8f%b4%e5%ad%a6%e6%a0%a1","Demo_staff","publish",,,"0","都内-市","570"
"調布市立第一小学校","926",,,"2019-02-19 20:57:24","%e8%aa%bf%e5%b8%83%e5%b8%82%e7%ab%8b%e7%ac%ac%e4%b8%80%e5%b0%8f%e5%ad%a6%e6%a0%a1","Demo_staff","publish",,,"0","都内-区","550"
"桐朋学園小学校","927",,,"2019-02-19 20:57:24","%e6%a1%90%e6%9c%8b%e5%ad%a6%e5%9c%92%e5%b0%8f%e5%ad%a6%e6%a0%a1","Demo_staff","publish",,,"0","都内-市","552"
"東星学園小学校","928",,,"2019-02-19 20:57:25","%e6%9d%b1%e6%98%9f%e5%ad%a6%e5%9c%92%e5%b0%8f%e5%ad%a6%e6%a0%a1","Demo_staff","publish",,,"0","都内-市","572"
"八王子市立第五小学校","929",,,"2019-02-19 20:57:25","%e5%85%ab%e7%8e%8b%e5%ad%90%e5%b8%82%e7%ab%8b%e7%ac%ac%e4%ba%94%e5%b0%8f%e5%ad%a6%e6%a0%a1","Demo_staff","publish",,,"0","都内-市","569"
"奥多摩町立古里小学校","930",,,"2019-02-19 20:57:26","%e5%a5%a5%e5%a4%9a%e6%91%a9%e7%94%ba%e7%ab%8b%e5%8f%a4%e9%87%8c%e5%b0%8f%e5%ad%a6%e6%a0%a1","Demo_staff","publish",,,"0","都内-町","573"
"調布市立八雲台小学校","931",,,"2019-02-19 20:57:26","%ef%bc%89-%e8%aa%bf%e5%b8%83%e5%b8%82%e7%ab%8b%e5%85%ab%e9%9b%b2%e5%8f%b0%e5%b0%8f%e5%ad%a6%e6%a0%a1","Demo_staff","publish",,,"0","都内-市","550"
"明法中学・高等学校","932",,,"2019-02-19 20:57:27","%e6%98%8e%e6%b3%95%e4%b8%ad%e5%ad%a6%e3%83%bb%e9%ab%98%e7%ad%89%e5%ad%a6%e6%a0%a1","Demo_staff","publish",,,"0","都内-市","578"
"|2F展示室★削除★使用しないこと ","933",,,"2019-02-19 20:57:27","2f%e5%b1%95%e7%a4%ba%e5%ae%a4","Demo_staff","publish",,,"0","都内-区",
"八王子市立上川口小学校","934",,,"2019-02-19 20:57:28","%e5%85%ab%e7%8e%8b%e5%ad%90%e5%b8%82%e7%ab%8b%e4%b8%8a%e5%b7%9d%e5%8f%a3%e5%b0%8f%e5%ad%a6%e6%a0%a1","Demo_staff","publish",,,"0","都内-市","569"
"|B1F展示室★削除★使用しないこと ","935",,,"2019-02-19 20:57:28","b1f%e5%b1%95%e7%a4%ba%e5%ae%a4","Demo_staff","publish",,,"0","都内-区",
"府中市立府中第十小学校","936",,,"2019-02-19 20:57:29","%e5%ba%9c%e4%b8%ad%e5%b8%82%e7%ab%8b%e5%ba%9c%e4%b8%ad%e7%ac%ac%e5%8d%81%e5%b0%8f%e5%ad%a6%e6%a0%a1","Demo_staff","publish",,,"0","都内-市","553"
"小平市立小平第十二小学校","937",,,"2019-02-19 20:57:29","%e5%b0%8f%e5%b9%b3%e5%b8%82%e7%ab%8b%e5%b0%8f%e5%b9%b3%e7%ac%ac%e5%8d%81%e4%ba%8c%e5%b0%8f%e5%ad%a6%e6%a0%a1","Demo_staff","publish",,,"0","都内-市","580"
"町田市立鶴川第三小学校","938",,,"2019-02-19 20:57:30","%e7%94%ba%e7%94%b0%e5%b8%82%e7%ab%8b%e9%b6%b4%e5%b7%9d%e7%ac%ac%e4%b8%89%e5%b0%8f%e5%ad%a6%e6%a0%a1","Demo_staff","publish",,,"0","都内-市",
"稲城市立平尾小学校","939",,,"2019-02-19 20:57:30","%e7%a8%b2%e5%9f%8e%e5%b8%82%e7%ab%8b%e5%b9%b3%e5%b0%be%e5%b0%8f%e5%ad%a6%e6%a0%a1","Demo_staff","publish",,,"0","都内-市","579"
"町田市立成瀬中央小学校","940",,,"2019-02-19 20:57:30","%e7%94%ba%e7%94%b0%e5%b8%82%e7%ab%8b%e6%88%90%e7%80%ac%e4%b8%ad%e5%a4%ae%e5%b0%8f%e5%ad%a6%e6%a0%a1","Demo_staff","publish",,,"0","都内-市","547"
