ID,Title,"Tokyo FESTIVALの分類",WEBサイトのアドレス,概要,対象,会場(投稿),会場の所属する自治体,会場の存在する自治体名,主催,協賛,協力,後援,申請自治体,開催年度,"単日/複数日 - 期間",開催時間,開催日数（展覧会・公演）,公演回数／実施回数（講演、ワークショップ等）,人数/参加者数,料金,出演者数／出展アーティスト数／登壇者数等,出演者数／出展アーティスト数／登壇者数等（外国人）,ジャンル,多言語対応の有無,多言語対応（例）ウェブサイトの多言語化,多言語対応（例）音声ガイドの多言語化,多言語対応（例）キャプション・字幕の多言語化,多言語対応（例）その他の多言語化,多言語対応（例）その他の多言語化（内容）,バリアフリー対応の有無,バリアフリー対応策（例）,バリアフリー対応策（例）その他,組織委員会の認証の有無,画像等データの有無,画像,動画URL,関連プログラム名,決算額_year,決算額_price,期間_date,期間_date_to,単日/複数日_date,国_country,国_num
2665,世田谷区立池尻小学校（2017年1月24日）,1,,"子供たちが日本の伝統文化・芸能に触れ、日本の文化の価値に対する正しい理解を深めるとともに、多様な文化に対する幅広い知識を育めるよう、若手実演家等を講師とする体験・鑑賞プログラムを、学校と連携した取組として実施した。

学校名：世田谷区立池尻小学校
開催日：1月24日
内容：伝統工芸（江戸木版画）
実施団体（協力）：株式会社高橋工房
体験者（人）：58
",子供向け,世田谷区立池尻小学校,,,アーツカウンシル東京,,東京都|株式会社高橋工房,,,2016,2016,,単日/複数日,20170124,"a:1:{s:4:""time"";b:0;}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""58"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""無料"";s:13:""ryoukin_bikou"";s:0:"""";}",1,,伝統芸能（歌舞伎・能等）|芸術文化の体験型イベント（外国人向け・子供向け含む）|芸術文化の力を活用して、教育、福祉や医療、地域振興等の領域における課題を解決する事業,無し,,,,,,無し,,,なし,なし,,,,,,,
2667,中野区立桃園小学校（2017年1月24日）,1,,"子供たちが日本の伝統文化・芸能に触れ、日本の文化の価値に対する正しい理解を深めるとともに、多様な文化に対する幅広い知識を育めるよう、若手実演家等を講師とする体験・鑑賞プログラムを、学校と連携した取組として実施した。

学校名：中野区立桃園小学校
開催日：1月24日
内容：箏
実施団体（協力）：公益社団法人日本三曲協会
体験者（人）：67
",子供向け,中野区立桃園小学校,,,アーツカウンシル東京,,東京都|公益社団法人日本三曲協会,,,2016,2016,,単日/複数日,20170124,"a:1:{s:4:""time"";b:0;}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""67"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""無料"";s:13:""ryoukin_bikou"";s:0:"""";}",1,,伝統芸能（歌舞伎・能等）|芸術文化の体験型イベント（外国人向け・子供向け含む）|芸術文化の力を活用して、教育、福祉や医療、地域振興等の領域における課題を解決する事業,無し,,,,,,無し,,,なし,なし,,,,,,,
2669,赤城神社　夕暮れライブ,1,https://www.artscouncil-tokyo.jp/ja/events/22696/,江戸時代からの名所であり、夕景の美しいスポットとしても知られる赤城神社。そのモダンで美しい神楽殿で、江戸太神楽、尺八、長唄三味線と邦楽囃子による、古典的色彩が濃く趣のあるライブを展開します。そしてフィナーレは、出演者・来場者・スタッフが一体となって祭を厳かに締めくくります。,,"赤城神社 神楽殿",,,アーツカウンシル東京|特定非営利活動法人粋なまちづくり倶楽部,,東京神楽坂組合|毘沙門天善國寺|赤城神社|株式会社粋まち|神楽坂通り商店会|神楽坂商店街振興組合|江戸東京ガイドの会|光照寺|圓福寺|若宮町自治会|法政大学|東京理科大学経営学部　大西研究室|あずさ監査法人|第一勧業信用組合（神楽坂支店）|日本出版クラブ|スターバックスコーヒー神楽坂下店|ちかけん,新宿区|一般社団法人新宿観光振興協会,,2017,2017,,単日/複数日,20171112,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""17:00:00"";s:7:""time_to"";s:8:""18:00:00"";s:10:""time_bikou"";s:0:"""";}}}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""810"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""無料"";s:13:""ryoukin_bikou"";s:0:"""";}",3,1,伝統芸能（歌舞伎・能等）,有り,英語,,,,,無し,,,なし,あり・チラシ画像|あり・その他画像,,,,アメリカ,1,,
2670,神楽坂タイムスリップ　スタンプラリー／歴史ガイド,1,https://www.artscouncil-tokyo.jp/ja/events/22696/,江戸時代から明治・大正時代の名所旧跡まで7か所をめぐるスタンプラリー、そして8か所ある歴史スポットでは神楽坂をよく知る「案内人」によるガイドがあります。路地を入った先にある白銀公園では、昔ながらの紙芝居や江戸糸あやつり人形などの大道芸を実演。子供たちはもちろん、大人も懐かしく楽しむことができます。スタンプを7つすべて集めた参加者には、記念品として数量限定のオリジナル手拭を贈呈します,,白銀公園|神楽坂界隅（神楽坂タイムスリップ　スタンプラリー／歴史ガイド）,,,アーツカウンシル東京|特定非営利活動法人粋なまちづくり倶楽部,,東京神楽坂組合|毘沙門天善國寺|赤城神社|株式会社粋まち|神楽坂通り商店会|神楽坂商店街振興組合|江戸東京ガイドの会|光照寺|圓福寺|若宮町自治会|法政大学|東京理科大学経営学部　大西研究室|あずさ監査法人|第一勧業信用組合（神楽坂支店）|日本出版クラブ|スターバックスコーヒー神楽坂下店|ちかけん,新宿区|一般社団法人新宿観光振興協会,,2017,2017,,単日/複数日,20171112,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""11:30:00"";s:7:""time_to"";s:8:""16:00:00"";s:10:""time_bikou"";s:0:"""";}}}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:5:""12069"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""無料"";s:13:""ryoukin_bikou"";s:0:"""";}",2,,演芸（落語・漫才等）|街なか（屋外）イベント,有り,英語,,,,,無し,,,なし,なし,,,,,,,
2672,"【特別展】  ブリューゲル展 画家一族 150年の系譜",1,https://www.tobikan.jp/exhibition/2017_bruegel.html,16、17世紀のヨーロッパにおいてもっとも影響力を持った画家一族のひとつであったブリューゲル一族。本展は、一族の祖であるピーテル･ブリューゲル1世をはじめとした、一族4世代9人の画家と、彼らに影響を受けた周囲の画家たちの作品101点を展示。日本ではまだ馴染みのないブリューゲル一族の活動を紹介した。また、展示作品のほぼ全てが個人の所蔵する作品で、普段目にすることの出来ない作品を見ることのできる貴重な機会ともなった。　展覧会は、一族や周辺の画家たちの作品を７つのテーマに分けて構成した。同じ主題やテーマを扱った作品を並べることで、一族に受け継がれた伝統と、個々の画家の特徴をわかりやすく伝えるような展示とした。　ブリューゲル一族は、親子で同姓同名の場合も多く、作者がどの「ブリューゲル」なのかという混乱が常に付きまとう。この混乱を避けるために、通常のキャプションに加えて、作者が一族のどの世代かが一目でわかるような「系譜キャプション」をつける工夫も行った。,,"東京都美術館 – 1F 企画展示室|東京都美術館 – 2F 企画展示室|東京都美術館 – LBF 企画展示室",,,東京都美術館|日本テレビ放送網|読売新聞社|BS日テレ,光村印刷,"日本通運|JR東日本|CS日テレ|ラジオ日本|文化放送|TOKYO MX|テレビ神奈川|NTVヨーロッパ|アルテミジア",,,2017,2017,,期間,,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""09:30:00"";s:7:""time_to"";s:8:""17:30:00"";s:10:""time_bikou"";s:24:""金曜日は9:30～20:00"";}}}",59,59,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:6:""172935"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:135:""<p>観覧料（当日）／ 一般 1,600円、大学生・専門学校生1,300円、<br />
高校生 800円、65歳以上 1,000円</p>
"";}",,,展覧会（美術、歴史、写真、建築、文芸等）,有り,英語|中国語簡体字|中国語繁体字|韓国語,,,,,有り,バリアフリー対応施設,,,あり・チラシ画像,,,,,,20180123,20180401
2675,"【企画展】  杉戸洋 とんぼ と のりしろ",1,https://www.tobikan.jp/exhibition/2017_hiroshisugito.html,"「現代作家展」の第2回展。杉戸洋は家、木、カーテンなどのシンプルなモチーフやかたち、それらを彩る淡い色彩などにより、抽象と具象の間を行き来するような作風の絵画で知られる一方、建築家・青木淳らとのユニット「spiders」などで空間に関わる作品にも取り組んできた。本展は、タイルの床やコンクリートの斫り壁、ぶらさがりの天井照明など、建築家・前川國男による美術館の建築独特の質感と佇まいを残した、地下に広がる吹き抜けの展示室「ギャラリー」を出発点としている。ここから着想された、美術館と同じ常滑産で、杉戸自ら多彩な釉薬を施したタイルによる幅15メートルに及ぶ大作《module （for room A）》などが本展のために制作された。さらに絵画やドローイングなどと共に、自然光の入る窓やエスカレーターにカラーシートやアクリル板、部屋の足元には発泡スチロールのブロックなど、日常的な素材を用いた様々なしつらえが「空気を整える」ように配され、作品と空間とが呼応し合い、ギャラリーの空間全体を作品化する展示が実現された。杉戸洋は本展により芸術選奨文部科学大臣賞を受賞した。",,"東京都美術館 – B3F ギャラリーA|東京都美術館 – B3F ギャラリーB|東京都美術館 – B2F ギャラリーC",,,東京都美術館,,ケンジタキギャラリー|小山登美夫ギャラリー|水野製陶園ラボ,,,2017,2017,,期間,,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""09:30:00"";s:7:""time_to"";s:8:""17:30:00"";s:10:""time_bikou"";s:24:""金曜日は9:30～20:00"";}}}",68,68,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:5:""28938"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:112:""<p>観覧料（当日券）／ 一般 800 円、大学生・専門学校生 400、<br />
65歳以上 500円</p>
"";}",,,展覧会（美術、歴史、写真、建築、文芸等）,有り,英語|中国語簡体字|中国語繁体字|韓国語,,,,,有り,バリアフリー対応施設,,,あり・チラシ画像,,,,,,20170725,20171009
2678,国分寺市立第一小学校（2017年2月2日）,1,,"子供たちが日本の伝統文化・芸能に触れ、日本の文化の価値に対する正しい理解を深めるとともに、多様な文化に対する幅広い知識を育めるよう、若手実演家等を講師とする体験・鑑賞プログラムを、学校と連携した取組として実施した。

学校名：国分寺市立第一小学校
開催日：2月2日
内容：伝統工芸（江戸小紋）
実施団体（協力）：東京都染色工業協同組合
体験者（人）：62",子供向け,国分寺市立第一小学校,,,アーツカウンシル東京,,東京都|東京都染色工業協同組合,,,2016,2016,,単日/複数日,20170202,"a:1:{s:4:""time"";b:0;}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""62"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""無料"";s:13:""ryoukin_bikou"";s:0:"""";}",1,,伝統芸能（歌舞伎・能等）|芸術文化の体験型イベント（外国人向け・子供向け含む）|芸術文化の力を活用して、教育、福祉や医療、地域振興等の領域における課題を解決する事業,無し,,,,,,無し,,,なし,なし,,,,,,,
2681,茶席　高橋是清邸,1,https://www.artscouncil-tokyo.jp/ja/events/21237/,"開催日：10/7、8

会場：江戸東京たてもの園　茶席　高橋是清邸

体験者（人）：410

参加料（円）：700

イベント：武道パフォーマンス、なわとびパフォーマンス、
フォトスポット

出店：小金井市商工会",,"江戸東京たてもの園 - センターゾーン 高橋是清邸",,,東京都|アーツカウンシル東京,,東京都茶道会|江戸東京たてもの園,小金井市|小金井市商工会,,2017,2017,,単日/複数日,"20171007,20171008","a:1:{s:4:""time"";b:0;}",2,2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""410"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:26:""<p>参加料：700円</p>
"";}",,,イベント,有り,英語,,,,,無し,,,なし,あり・チラシ画像|あり・その他画像,,,,,,,
2682,茶席　西川家別邸,1,https://www.artscouncil-tokyo.jp/ja/events/21237/,"開催日：10/7、8

会場：江戸東京たてもの園　茶席　西川家別邸

体験者（人）：408

参加料（円）：700

イベント：武道パフォーマンス、なわとびパフォーマンス、
フォトスポット

出店：小金井市商工会",,"江戸東京たてもの園 - センターゾーン 西川家別邸",,,東京都|アーツカウンシル東京,,東京都茶道会|江戸東京たてもの園,小金井市|小金井市商工会,,2017,2017,,単日/複数日,"20171007,20171008","a:1:{s:4:""time"";b:0;}",2,2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""408"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:26:""<p>参加料：700円</p>
"";}",,,イベント,有り,英語,,,,,無し,,,なし,あり・チラシ画像|あり・その他画像,,,,,,,
2686,"【コレクション展】東京都現代美術館所蔵 近代の写実展",1,https://www.tobikan.jp/exhibition/2017_collection.html,上野アーティストプロジェクト「現代の写実――映像を超えて」のテーマ「写実（リアリズム）」に合わせて、東京都現代美術館に収蔵されている作品の中から、明治、大正、昭和の写実的洋画を紹介した。　明治洋画の先駆者、本多錦吉郎による精緻な油彩表現、大正期の洋画グループ「草土社」の一員だった河野通勢による細密な油彩とデッサン、さらに昭和前期の人々の暮らしと社会の様相をヒューマニズムに満ちたまなざしで描き出した池部鈞、そして穏健な写実による画風で知られる牧野虎雄など、近代日本の美術と公募団体を支えた洋画家を中心に、油彩画、水彩、素描33点を展示した。　東京都現代美術館で普段目にする機会の少ない近代洋画を、上野を訪れた美術ファンに公開することができた。財団内の美術館同士が連携し、東京都所蔵の貴重なコレクションを公開できたこと、東京都現代美術館も館ウェブサイトなど広報協力を行うなど、財団内連携事業という点においても意義深い展覧会となった。,,"東京都美術館 – B3F ギャラリーB",,,東京都|東京都美術館,,,,,2017,2017,,期間,,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""09:30:00"";s:7:""time_to"";s:8:""17:30:00"";s:10:""time_bikou"";s:24:""金曜日は9:30～20:00"";}}}",45,45,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:5:""41137"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""無料"";s:13:""ryoukin_bikou"";s:0:"""";}",,,展覧会（美術、歴史、写真、建築、文芸等）,有り,英語|中国語簡体字|中国語繁体字|韓国語,,,,,有り,バリアフリー対応施設,,,あり・チラシ画像,,,,,,20171117,20180106
