"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL","Google API Key","Enqueue Google Maps API Script","Enqueue ACF Google Maps Script","Force Shortcodes Processing","Multilingual VC Snippet IDs","Multilingual ACF Field Picker IDs","Tokyo FESTIVALの分類","Tokyo FESTIVALの分類",WEBサイトのアドレス,WEBサイトURL,概要,概要,会場(投稿),会場の存在する自治体名,会場の所属する自治体,申請自治体,会場,主催,共催,協賛,協力,後援,開催年度,"単日/複数日 - 期間",開催時間,対象,開催日数（展覧会・公演）,公演回数／実施回数（講演、ワークショップ等）,人数/参加者数,人数,料金,出演者数／出展アーティスト数／登壇者数等,出演者数／出展アーティスト数／登壇者数等（外国人）,ジャンル,多言語対応の有無,多言語対応（例）ウェブサイトの多言語化,多言語対応（例）音声ガイドの多言語化,多言語対応（例）キャプション・字幕の多言語化,多言語対応（例）その他の多言語化,多言語対応（例）その他の多言語化（内容）,バリアフリー対応の有無,バリアフリー対応策（例）,バリアフリー対応策（例）その他,組織委員会の認証の有無,画像等データの有無,画像,動画URL,関連プログラム名,事業マスター,カテゴリ,会場の所属する自治体,会場の存在する自治体名,決算額_year,決算額_price,期間_date,期間_date_to,単日/複数日_date,国_country,国_num
,,,,,,,,,,,,,1,1,http://www.t-bunka.jp/old/sponsership/spo_161009d.html,,"［日時］<span style=""font-size: 1rem;"">平成28年10月 9 日(日)　10:00~</span>

［会場］文京シビックセンターレクリエーションホール

［入場者数］24人

［入場料金等］参加料500円

［内容］
ワルツの森のおんがく隊(新制作 A) ワークショップ・リーダー育成プログラム受講生
対象: 3 歳~ 4 歳","［日時］<span style=""font-size: 1rem;"">平成28年10月 9 日(日)　10:00~</span>

［会場］文京シビックセンターレクリエーションホール

［入場者数］24人

［入場料金等］参加料500円

［内容］
ワルツの森のおんがく隊(新制作 A) ワークショップ・リーダー育成プログラム受講生
対象: 3 歳~ 4 歳","文京シビックセンター - レクリエーションホール",,,,,東京都|東京文化会館|アーツカウンシル東京,東京芸術劇場|文京シビックホール（公益財団法人文京アカデミー）,,上野学園大学|公益財団法人日本フィルハーモニー交響楽団,ポルトガル大使館|台東区教育委員会,2016,単日/複数日,20161009,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""10:00:00"";s:7:""time_to"";s:8:""11:00:00"";s:10:""time_bikou"";s:0:"""";}}}",子供向け,1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""24"";s:6:""備考"";s:0:"""";}",,"a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:26:""<p>参加料：500円</p>
"";}",7,,ポルトガル,3,芸術文化の体験型イベント（外国人向け・子供向け含む）,無し,,,,,,無し,バリアフリー対応施設,,なし,あり・チラシ画像,,,,,,,,,,,
,,,,,,,,,,,,,1,1,http://www.t-bunka.jp/old/sponsership/spo_161009e.html,,"［日時］<span style=""font-size: 1rem;"">平成28年10月 9 日(日)　11:30~</span>

［会場］文京シビックセンター練習室 1

［入場者数］8人

［入場料金等］参加料500円

［内容］
真夜中の音楽ミュージアム(新制作 B) ワークショップ・リーダー育成プログラム受講生
対象: 5 歳~ 6 歳","［日時］<span style=""font-size: 1rem;"">平成28年10月 9 日(日)　11:30~</span>

［会場］文京シビックセンター練習室 1

［入場者数］8人

［入場料金等］参加料500円

［内容］
真夜中の音楽ミュージアム(新制作 B) ワークショップ・リーダー育成プログラム受講生
対象: 5 歳~ 6 歳","文京シビックセンター - 練習室1",,,,,東京都|東京文化会館|アーツカウンシル東京,東京芸術劇場|文京シビックホール（公益財団法人文京アカデミー）,,上野学園大学|公益財団法人日本フィルハーモニー交響楽団,ポルトガル大使館|台東区教育委員会,2016,単日/複数日,20161009,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""11:30:00"";s:7:""time_to"";s:8:""12:30:00"";s:10:""time_bikou"";s:0:"""";}}}",子供向け,1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:1:""8"";s:6:""備考"";s:0:"""";}",,"a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:26:""<p>参加料：500円</p>
"";}",7,,ポルトガル,3,芸術文化の体験型イベント（外国人向け・子供向け含む）,無し,,,,,,無し,バリアフリー対応施設,,なし,あり・チラシ画像,,,,,,,,,,,
,,,,,,,,,,,,,1,1,,,"[会場]コンサートホール（定員(1)1,739人、(2)1,739人合計3,478人）
[日時]
(1)平成29年10月27日（金）午後6時30分開演
(2)平成29年10月29日（日）午後2時00分開演
[主催]公益財団法人東京都歴史文化財団 東京芸術劇場
[共同制作]
公益財団法人新潟市芸術文化振興財団
公益財団法人金沢芸術創造財団
新川文化ホール（公益財団法人富止県文化振興財団）
沖縄コンベンションセンター（一般財団法人沖縄鋭光コンベンションビューロー）
公益財団法人沖縄県文化振興会
公益財団法人石川県音楽文化振巽事業団（オーケストラ・アンサンブル金沢）
公益財団法人東京フィルハーモニー交聾楽団
公益財団法人群馬交響楽団
特定非営利活動法人琉球交響楽団
[後援]公益社団法人全国公立文化施設協会、公益社団法人日本オーケストラ連盟
[協力]劇場、音楽堂等連絡協議会
[助成]平成29年度文化庁劇場・音楽堂等活性化事業（共司制作支援事業）
[出演等]
トスカ（トス香）：ルイザ・アルプレヒトヴァ
カヴァラドッシ（カバラ導師・万里生）：アレクサンドル・バディア
スカルピア（須賀ルピオ）：三戸大久
アンジェロッティ（アンジェロッ太）：森雅史
堂守（堂森）：三浦克次
スポレッタ（スポレッ太）：与儀巧
シャルローネ（シャル郎）：高橋洋介
看守：原田勇雅
牧童：鳥木雅生（ボーイソプラノ）

広上淳ー（指揮）
東京フィルハーモニー交響楽団（管弦楽）
東邦音楽大学（合唱）
TOKYO FM 少年合唱団（児童合唱）
演出：河瀬直美
[スタッフ]
副指揮：辻博之、コレペティトゥール：服部容子、演出補：菅尾友
演出助手：堀川炎、舞台監督：酒井健、美術：重松象平、衣裳：堂本教子
照明：吉本有揮子、音響：石丸耕一、映像河瀬直美、北條美穂、吉光清隆","[会場]コンサートホール（定員(1)1,739人、(2)1,739人合計3,478人）
[日時]
(1)平成29年10月27日（金）午後6時30分開演
(2)平成29年10月29日（日）午後2時00分開演
[主催]公益財団法人東京都歴史文化財団 東京芸術劇場
[共同制作]
公益財団法人新潟市芸術文化振興財団
公益財団法人金沢芸術創造財団
新川文化ホール（公益財団法人富止県文化振興財団）
沖縄コンベンションセンター（一般財団法人沖縄鋭光コンベンションビューロー）
公益財団法人沖縄県文化振興会
公益財団法人石川県音楽文化振巽事業団（オーケストラ・アンサンブル金沢）
公益財団法人東京フィルハーモニー交聾楽団
公益財団法人群馬交響楽団
特定非営利活動法人琉球交響楽団
[後援]公益社団法人全国公立文化施設協会、公益社団法人日本オーケストラ連盟
[協力]劇場、音楽堂等連絡協議会
[助成]平成29年度文化庁劇場・音楽堂等活性化事業（共司制作支援事業）
[出演等]
トスカ（トス香）：ルイザ・アルプレヒトヴァ
カヴァラドッシ（カバラ導師・万里生）：アレクサンドル・バディア
スカルピア（須賀ルピオ）：三戸大久
アンジェロッティ（アンジェロッ太）：森雅史
堂守（堂森）：三浦克次
スポレッタ（スポレッ太）：与儀巧
シャルローネ（シャル郎）：高橋洋介
看守：原田勇雅
牧童：鳥木雅生（ボーイソプラノ）

広上淳ー（指揮）
東京フィルハーモニー交響楽団（管弦楽）
東邦音楽大学（合唱）
TOKYO FM 少年合唱団（児童合唱）
演出：河瀬直美
[スタッフ]
副指揮：辻博之、コレペティトゥール：服部容子、演出補：菅尾友
演出助手：堀川炎、舞台監督：酒井健、美術：重松象平、衣裳：堂本教子
照明：吉本有揮子、音響：石丸耕一、映像河瀬直美、北條美穂、吉光清隆","東京芸術劇場 - コンサートホール",,,,,公益財団法人東京都歴史文化財団|東京芸術劇場,,,東京芸術劇場|音楽堂等連絡協議会,公益社団法人全国公立文化施設協会|公益社団法人日本オーケストラ連盟,2017,単日/複数日,"20171027,20171029","a:1:{s:4:""time"";a:2:{i:0;a:3:{s:9:""time_from"";s:8:""18:30:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:0:"""";}i:1;a:3:{s:9:""time_from"";s:8:""14:00:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:0:"""";}}}",,2,2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""2590"";s:6:""備考"";s:0:"""";}",,"a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:111:""<p>s席10,000円 A席8,000円 B席6,000円 c席4,000円 D席3,000円<br />
E席1,500円 (ss席12,000円）</p>
"";}",,,,,クラシック音楽（オペラ等を含む）,無し,,,,,,無し,,,,なし,,,,,,,,2017,,,
,,,,,,,,,,,,,1,1,http://www.t-bunka.jp/old/sponsership/spo_161009c.html,,"［日時］平成28年10月 9 日(日)　10:30~

［会場］文京シビックセンター多目的室

［入場者数］48人

［入場料金等］参加料500円

［内容］
タネまき、タネまき、大きくなあれ! 東京文化会館ワークショップ・リーダー(高田有香子、 吉澤延隆)
対象: 19ヶ月~35ヶ月","［日時］平成28年10月 9 日(日)　10:30~

［会場］文京シビックセンター多目的室

［入場者数］48人

［入場料金等］参加料500円

［内容］
タネまき、タネまき、大きくなあれ! 東京文化会館ワークショップ・リーダー(高田有香子、 吉澤延隆)
対象: 19ヶ月~35ヶ月","文京シビックセンター - 多目的室",,,,,東京都|東京文化会館|アーツカウンシル東京,東京芸術劇場|文京シビックホール（公益財団法人文京アカデミー）,,上野学園大学|公益財団法人日本フィルハーモニー交響楽団,ポルトガル大使館|台東区教育委員会,2016,単日/複数日,20161009,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""10:30:00"";s:7:""time_to"";s:8:""11:30:00"";s:10:""time_bikou"";s:0:"""";}}}",子供向け,1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""48"";s:6:""備考"";s:0:"""";}",,"a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:26:""<p>参加料：500円</p>
"";}",2,,ポルトガル,3,芸術文化の体験型イベント（外国人向け・子供向け含む）,無し,,,,,,無し,バリアフリー対応施設,,なし,あり・チラシ画像,,,,,,,,,,,
,,,,,,,,,,,,,1,1,http://www.t-bunka.jp/old/sponsership/spo_161009c.html,,"［日時］平成28年10月 9 日(日)　12:00~

［会場］文京シビックセンター多目的室

［入場者数］32人

［入場料金等］参加料500円

［内容］
タネまき、タネまき、大きくなあれ! 東京文化会館ワークショップ・リーダー(高田有香子、 吉澤延隆)
対象: 3歳〜4歳","［日時］平成28年10月 9 日(日)　12:00~

［会場］文京シビックセンター多目的室

［入場者数］32人

［入場料金等］参加料500円

［内容］
タネまき、タネまき、大きくなあれ! 東京文化会館ワークショップ・リーダー(高田有香子、 吉澤延隆)
対象: 3歳〜4歳","文京シビックセンター - 多目的室",,,,,東京都|東京文化会館|アーツカウンシル東京,東京芸術劇場|文京シビックホール（公益財団法人文京アカデミー）,,上野学園大学|公益財団法人日本フィルハーモニー交響楽団,ポルトガル大使館|台東区教育委員会,2016,単日/複数日,20161009,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""12:00:00"";s:7:""time_to"";s:8:""13:00:00"";s:10:""time_bikou"";s:0:"""";}}}",子供向け,1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""32"";s:6:""備考"";s:0:"""";}",,"a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:26:""<p>参加料：500円</p>
"";}",2,,ポルトガル,3,芸術文化の体験型イベント（外国人向け・子供向け含む）,無し,,,,,,無し,バリアフリー対応施設,,なし,あり・チラシ画像,,,,,,,,,,,
,,,,,,,,,,,,,1,1,,,"[会場]コンサートホール（定員1,999人）
[日時]平成29年12月12日（火） 午後7時00分開演
[主催]エイベックス・クラシックス・インターナショナル 公益財団法人東京都歴史文化財団 東京芸術劇場
[出演]ピアノ：辻井伸行
[曲目]
く第1部＞人気の自作×美しいフォトグラフ
美の巨人たちオープニング・テーマ・· · Various
川のささやき・・・ピサロ、シスレー、カイユボットの絵画
ロックフェラーの天使の羽・・・幼少の頃の写真
セーヌ川のロンド・・・幼少の頃の写真
風の家・・・マヨルカ島訪開時の写真
コルトナの朝・・・トスカーナ地方の写真
ジェニーヘのオマージュ・・・海外ツア一時の写真
美の巨人たちエンディング・テーマ・・・ガウディの作品

く第2部＞
クラシックの名曲×著名絵画
ドビュッシー／
2つのアラベスク・・・ルノワール、ドガの絵画
夢・・・ルドンの絵画
月の光・・・クレーの絵画

ラヴェル／
亡き王女のためのパヴァーヌ・・・モネの絵画
水の戯れ・・・モネの絵画

ショパン／
バラード第1番・・・フェルメールの絵画
英雄ポロネーズ・・・Various","[会場]コンサートホール（定員1,999人）
[日時]平成29年12月12日（火） 午後7時00分開演
[主催]エイベックス・クラシックス・インターナショナル 公益財団法人東京都歴史文化財団 東京芸術劇場
[出演]ピアノ：辻井伸行
[曲目]
く第1部＞人気の自作×美しいフォトグラフ
美の巨人たちオープニング・テーマ・· · Various
川のささやき・・・ピサロ、シスレー、カイユボットの絵画
ロックフェラーの天使の羽・・・幼少の頃の写真
セーヌ川のロンド・・・幼少の頃の写真
風の家・・・マヨルカ島訪開時の写真
コルトナの朝・・・トスカーナ地方の写真
ジェニーヘのオマージュ・・・海外ツア一時の写真
美の巨人たちエンディング・テーマ・・・ガウディの作品

く第2部＞
クラシックの名曲×著名絵画
ドビュッシー／
2つのアラベスク・・・ルノワール、ドガの絵画
夢・・・ルドンの絵画
月の光・・・クレーの絵画

ラヴェル／
亡き王女のためのパヴァーヌ・・・モネの絵画
水の戯れ・・・モネの絵画

ショパン／
バラード第1番・・・フェルメールの絵画
英雄ポロネーズ・・・Various","東京芸術劇場 - コンサートホール",,,,,エイベックス・クラシックス・インターナショナル|公益財団法人東京都歴史文化財団|東京芸術劇場,,,,,2017,単日/複数日,20171212,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""19:00:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:0:"""";}}}",,1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:4:""1844"";s:6:""備考"";s:0:"""";}",,"a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:33:""<p>s席9,000円 A席8,000円</p>
"";}",,,,,クラシック音楽（オペラ等を含む）,無し,,,,,,無し,,,,なし,,,,,,,,2017,,,
,,,,,,,,,,,,,1,1,http://www.t-bunka.jp/old/sponsership/spo_161009a.html,,"［日時］平成28年10月 9 日(日)　10:30~

［会場］東京文化会館小ホール

［入場者数］24人

［入場料金等］参加料500円

［内容］
ボディ・ビート
カーザ・ダ・ムジカ ワークショップ・リーダー(ブル ーノ・エスティマ、ジョルジュ・ケイジョ)

対象:一般(未就学児不可)","［日時］平成28年10月 9 日(日)　10:30~

［会場］東京文化会館小ホール

［入場者数］24人

［入場料金等］参加料500円

［内容］
ボディ・ビート
カーザ・ダ・ムジカ ワークショップ・リーダー(ブル ーノ・エスティマ、ジョルジュ・ケイジョ)

対象:一般(未就学児不可)","東京文化会館 - 小ホール",,,,,東京都|東京文化会館|アーツカウンシル東京,東京芸術劇場|文京シビックホール（公益財団法人文京アカデミー）,,上野学園大学|公益財団法人日本フィルハーモニー交響楽団,ポルトガル大使館|台東区教育委員会,2016,単日/複数日,20161009,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""10:30:00"";s:7:""time_to"";s:8:""11:30:00"";s:10:""time_bikou"";s:0:"""";}}}",,1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""24"";s:6:""備考"";s:0:"""";}",,"a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:26:""<p>参加料：500円</p>
"";}",2,2,ポルトガル,2,芸術文化の体験型イベント（外国人向け・子供向け含む）,無し,,,,,,無し,バリアフリー対応施設,,なし,あり・チラシ画像,,,,,,,,,,,
,,,,,,,,,,,,,1,1,http://www.t-bunka.jp/old/sponsership/spo_161009b.html,,"［日時］平成28年10月 9 日(日)　11:00~

［会場］東京文化会館リハーサルルーム B

［入場者数］24人

［入場料金等］参加料500円

［内容］
なぜなぜルーレット
カーザ・ダ・ムジカ ワークショップ・リーダー(ジョ アナ・アラウージョ、パウロ・ネート) 東京文化会館ワークショップ・リーダー(たかせみお)
対象: 3 歳~ 4 歳","［日時］平成28年10月 9 日(日)　11:00~

［会場］東京文化会館リハーサルルーム B

［入場者数］24人

［入場料金等］参加料500円

［内容］
なぜなぜルーレット
カーザ・ダ・ムジカ ワークショップ・リーダー(ジョ アナ・アラウージョ、パウロ・ネート) 東京文化会館ワークショップ・リーダー(たかせみお)
対象: 3 歳~ 4 歳","東京文化会館 - リハーサル室B",,,,,東京都|東京文化会館|アーツカウンシル東京,東京芸術劇場|文京シビックホール（公益財団法人文京アカデミー）,,上野学園大学|公益財団法人日本フィルハーモニー交響楽団,ポルトガル大使館|台東区教育委員会,2016,単日/複数日,20161009,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""11:00:00"";s:7:""time_to"";s:8:""12:00:00"";s:10:""time_bikou"";s:0:"""";}}}",子供向け,1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""24"";s:6:""備考"";s:0:"""";}",,"a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:26:""<p>参加料：500円</p>
"";}",3,2,ポルトガル,2,芸術文化の体験型イベント（外国人向け・子供向け含む）,無し,,,,,,無し,バリアフリー対応施設,,なし,あり・チラシ画像,,,,,,,,,,,
,,,,,,,,,,,,,1,1,http://www.t-bunka.jp/old/sponsership/spo_161009b.html,,"［日時］平成28年10月 9 日(日)　12:30~

［会場］東京文化会館リハーサルルーム B

［入場者数］22人

［入場料金等］参加料500円

［内容］
なぜなぜルーレット
カーザ・ダ・ムジカ ワークショップ・リーダー(ジョ アナ・アラウージョ、パウロ・ネート) 東京文化会館ワークショップ・リーダー(たかせみお)
対象: 5 歳~ 6 歳","［日時］平成28年10月 9 日(日)　12:30~

［会場］東京文化会館リハーサルルーム B

［入場者数］22人

［入場料金等］参加料500円

［内容］
なぜなぜルーレット
カーザ・ダ・ムジカ ワークショップ・リーダー(ジョ アナ・アラウージョ、パウロ・ネート) 東京文化会館ワークショップ・リーダー(たかせみお)
対象: 5 歳~ 6 歳","東京文化会館 - リハーサル室B",,,,,東京都|東京文化会館|アーツカウンシル東京,東京芸術劇場|文京シビックホール（公益財団法人文京アカデミー）,,上野学園大学|公益財団法人日本フィルハーモニー交響楽団,ポルトガル大使館|台東区教育委員会,2016,単日/複数日,20161009,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""12:30:00"";s:7:""time_to"";s:8:""13:30:00"";s:10:""time_bikou"";s:0:"""";}}}",子供向け,1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""22"";s:6:""備考"";s:0:"""";}",,"a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:26:""<p>参加料：500円</p>
"";}",3,2,ポルトガル,2,芸術文化の体験型イベント（外国人向け・子供向け含む）,無し,,,,,,無し,バリアフリー対応施設,,なし,あり・チラシ画像,,,,,,,,,,,
,,,,,,,,,,,,,1,1,http://www.t-bunka.jp/old/sponsership/spo_161010a.html,,"［日時］平成28年10月10日(月・祝)　10:30~

［会場］東京文化会館リハーサルルーム B

［入場者数］20人

［入場料金等］参加料500円

［内容］
めざせ!おんがく忍者! 東京文化会館ワークショップ・リーダー(伊原小百合、 たかせみお)
対象: 3 歳~ 4 歳","［日時］平成28年10月10日(月・祝)　10:30~

［会場］東京文化会館リハーサルルーム B

［入場者数］20人

［入場料金等］参加料500円

［内容］
めざせ!おんがく忍者! 東京文化会館ワークショップ・リーダー(伊原小百合、 たかせみお)
対象: 3 歳~ 4 歳","東京文化会館 - リハーサル室B",,,,,東京都|東京文化会館|アーツカウンシル東京,東京芸術劇場|文京シビックホール（公益財団法人文京アカデミー）,,上野学園大学|公益財団法人日本フィルハーモニー交響楽団,ポルトガル大使館|台東区教育委員会,2016,単日/複数日,20161010,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""10:30:00"";s:7:""time_to"";s:8:""11:30:00"";s:10:""time_bikou"";s:0:"""";}}}",子供向け,1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""20"";s:6:""備考"";s:0:"""";}",,"a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:26:""<p>参加料：500円</p>
"";}",2,,ポルトガル,2,芸術文化の体験型イベント（外国人向け・子供向け含む）,無し,,,,,,無し,バリアフリー対応施設,,なし,あり・チラシ画像,,,,,,,,,,,
