id,Title,開催年度,主催
20,プログラムテストデータ,,
68,プログラムテストデータ２,,
208,サブプログラム,,
273,TOPコレクション東京・TOKYO,2018,
274,ワークショップ★該当事業不明削除対象,2018,
281,"プログラム 1",2015,
282,"プログラム 2",2015,
283,"プログラム 3",2015,
323,オフサイト展示・ガイドツアー,2016,東京都|東京都写真美術館|アーツカウンシル東京|日本経済新聞社
334,日仏会館ギャラリー,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都
335,レイ・レイ,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都
336,ガブリエラ・マンガノ＆シルヴァーナ・マンガノ《そこはそこにない》,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都
337,上映,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都
338,オフサイト展示,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都
339,豊嶋康子,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社
340,ロバート・ノース＆アントワネット・デ・ヨング,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都
341,荒木博志、岡田邦雄、佐々木聖（地域連携プログラム：LIBRAIRIE6）,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都
342,崟利子,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都
344,金氏徹平、木ノ下智恵子,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都
345,澤田知子,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都
346,森村泰昌,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都
347,石川卓磨,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都
349,"Ⅰ.YEBIZOナイツ | Side A：マルチプル／アナログ",2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都
350,"Ⅱ. YEBIZOナイツ｜ Side B：マルチプル／キカイ",2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都
351,"【総合開館20周年記念事業 第９回恵比寿映像祭】笹本晃《デリケート・サイクル》",2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社
352,"シンポジウム ［日仏会館 共催企画］ シネマトグラフ日本伝来 ――稲畑勝太郎とリュミ エール",2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都
353,"A.「マルチプルな未来」へ Part 1：芸術とスペキュラティヴ・コモンズ",2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都
354,"B.「マルチプルな未来」へ Part 2：マージナルな映像アーカイヴィングの可能性",2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都
355,"C.イヴォンヌ・レイナーをめぐって ――ポストモダンダンスと映像の間",2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都
