"Image URL","Image Title","Image Caption","Image Description","Image Alt Text","Image Featured","Attachment URL","Google API Key","Enqueue Google Maps API Script","Enqueue ACF Google Maps Script","Force Shortcodes Processing","Multilingual VC Snippet IDs","Multilingual ACF Field Picker IDs",会場の所属する自治体,会場の存在する自治体名,人数,"Tokyo FESTIVALの分類",WEBサイトのアドレス,概要,対象,会場(投稿),会場,主催,共催,協賛,協力,後援,申請自治体,開催年度,"単日/複数日 - 期間",開催時間,開催日数（展覧会・公演）,公演回数／実施回数（講演、ワークショップ等）,人数/参加者数,料金,出演者数／出展アーティスト数／登壇者数等,出演者数／出展アーティスト数／登壇者数等（外国人）,ジャンル,多言語対応の有無,多言語対応（例）ウェブサイトの多言語化,多言語対応（例）音声ガイドの多言語化,多言語対応（例）キャプション・字幕の多言語化,多言語対応（例）その他の多言語化,多言語対応（例）その他の多言語化（内容）,バリアフリー対応の有無,バリアフリー対応策（例）,バリアフリー対応策（例）その他,組織委員会の認証の有無,画像等データの有無,画像,動画URL,関連プログラム名,事業マスター,カテゴリ,"Tokyo FESTIVALの分類",決算額_year,決算額_price,概要,WEBサイトURL,カテゴリ・プログラム登録_title,カテゴリ・プログラム登録_projectninzuu,カテゴリ・プログラム登録_content_program,会場の所属する自治体,会場の存在する自治体名
,,,,,,,,,,,,,,,,1,,"川端康成の小説「眠れる美女」を原作とし、ベルギーで制作、初演された現代オペラ作品「House of the SleepingBeauties」を東京文化会館版として日本初演。日本人俳優による芝居や現代舞踊とコラボレーションしたほか、東京藝術大学の弦・管・打楽器専攻生によるシンフォニエッタを起用し、新進演奏家の育成と地域連携を図った。

作曲：クリス・デフォート
台本：ギー・カシアス、クリス・デフォート、マリアン
ヌ・ヴァン・ケルホーフェン
指揮：パトリック・ダヴァン　演出：ギー・カシアス
振付：シディ・ラルビ・シェルカウイ、伊藤郁女
出演：老人／オマール・エイブライム　女／カトリン・
バルツ　老人／長塚京三　館の女主人／原田美枝子　ダ
ンサー／伊藤郁女　眠れる美女たち／原千裕、林ようこ、
吉村恵、塩崎めぐみ
管弦楽：東京藝大シンフォニエッタ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,,"川端康成の小説「眠れる美女」を原作とし、ベルギーで制作、初演された現代オペラ作品「House of the SleepingBeauties」を東京文化会館版として日本初演。日本人俳優による芝居や現代舞踊とコラボレーションしたほか、東京藝術大学の弦・管・打楽器専攻生によるシンフォニエッタを起用し、新進演奏家の育成と地域連携を図った。

作曲：クリス・デフォート
台本：ギー・カシアス、クリス・デフォート、マリアン
ヌ・ヴァン・ケルホーフェン
指揮：パトリック・ダヴァン　演出：ギー・カシアス
振付：シディ・ラルビ・シェルカウイ、伊藤郁女
出演：老人／オマール・エイブライム　女／カトリン・
バルツ　老人／長塚京三　館の女主人／原田美枝子　ダ
ンサー／伊藤郁女　眠れる美女たち／原千裕、林ようこ、
吉村恵、塩崎めぐみ
管弦楽：東京藝大シンフォニエッタ",http://www.t-bunka.jp/old/hsb/introduction.html,"オペラ「眠れる美女～House of theSleeping Beauties～」,映画「眠れる美女」特別上映会,日本･ベルギー交流150年の歴史",",,","オペラ「眠れる美女～House of theSleeping Beauties～」,映画「眠れる美女」特別上映会,日本･ベルギー交流150年の歴史",,
,,,,,,,,,,,,,,,,1,,第9回恵比寿映像祭は、「マルチプルな未来」を総合テーマに、映像が個人や社会のあり方にもたらす変化について考察した。また、約2年にわたる改修工事を経て、リニューアル・オープンした東京都写真美術館全館を使用した初めての開催となった。19カ国の国と地域より99名の作家およびゲストが出品・参加し、東京都写真美術館全館フロア、恵比寿ガーデンプレイス内のザ・ガーデンルーム、センター広場や日仏会館、地域連携各所などの複合会場で、展示、展示関連パフォーマンス、上映、ライヴ・イヴェント、シンポジウム、レクチャー、ガイドツアーなど多彩なプログラムを展開した。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,,第9回恵比寿映像祭は、「マルチプルな未来」を総合テーマに、映像が個人や社会のあり方にもたらす変化について考察した。また、約2年にわたる改修工事を経て、リニューアル・オープンした東京都写真美術館全館を使用した初めての開催となった。19カ国の国と地域より99名の作家およびゲストが出品・参加し、東京都写真美術館全館フロア、恵比寿ガーデンプレイス内のザ・ガーデンルーム、センター広場や日仏会館、地域連携各所などの複合会場で、展示、展示関連パフォーマンス、上映、ライヴ・イヴェント、シンポジウム、レクチャー、ガイドツアーなど多彩なプログラムを展開した。,https://www.yebizo.com/2017/jp/,"展示,展示関連パフォーマンス,上映,オフサイト展示,ラウンジトーク,ライブ・イベント,シンポジウム／レクチャー,ガイドツアー,地域発信プロジェクト,地域連携プログラム","24469,510,2497,25652,501,184,305,84,403,9155","東京都写真美術館 3F, 2F, B1F展示室|日仏会館ギャラリー,笹本晃《デリケート・サイクル》|ガブリエラ・マンガノ＆シルヴァーナ・マンガノ《そこはそこにない》,上映,オフサイト展示,レイ・レイ|豊嶋康子|ロバート・ノース＆アントワネット・デ・ヨング|荒木博志、岡田邦雄、佐々木聖（地域連携プログラム：LIBRAIRIE6）|崟利子,金氏徹平、木ノ下智恵子|澤田知子|森村泰昌|石川卓磨,Ⅰ.YEBIZOナイツ | Side A：マルチプル／アナログ|Ⅱ. YEBIZOナイツ｜ Side B：マルチプル／キカイ,シンポジウム ［日仏会館 共催企画］ シネマトグラフ日本伝来 ――稲畑勝太郎とリュミ エール|A.「マルチプルな未来」へ Part 1：芸術とスペキュラティヴ・コモンズ|B.「マルチプルな未来」へ Part 2：マージナルな映像アーカイヴィングの可能性|C.イヴォンヌ・レイナーをめぐって ――ポストモダンダンスと映像の間|D.スーザン・ソンタグ ――その思考と生き方に学ぶ,フェスティバル会場・オールアラウンドガイドツアー|オフサイト展示・ガイドツアー|TOP メイン会場・ガイドツアー|TOP Museum Guided Tour: EnglishVersion,「YEBIZO MEETS」Ⅰ 特別セッション|「YEBIZO MEETS」Ⅱ 地域発信トーク：伊東建築塾|「YEBIZO MEETS」Ⅲ リンクセッション：オーストリア大使館・オーストリア文化フォーラム|「YEBIZO MEETS」Ⅳ 地域連携発信 特別イヴェント 「ダンス保育園！！」,地域連携プログラム",,
,,,,,,,,,,,,,,,,1,,"当館所蔵の創建当時の家具・調度品やアール・デコの時代に活躍した作家の作品・資料を展示し、旧朝香宮邸の室内空間の再現を試みるとともに、室内装飾の細部に注目し、ディテールから見た建物の魅力を紹介した。
また、建物の修復・復原や細部の魅力をテーマにしたトークイベントを実施し、平日に限り本館内での写真撮影を可能にした。11月には3日間の夜間開館も行った。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,,"当館所蔵の創建当時の家具・調度品やアール・デコの時代に活躍した作家の作品・資料を展示し、旧朝香宮邸の室内空間の再現を試みるとともに、室内装飾の細部に注目し、ディテールから見た建物の魅力を紹介した。
また、建物の修復・復原や細部の魅力をテーマにしたトークイベントを実施し、平日に限り本館内での写真撮影を可能にした。11月には3日間の夜間開館も行った。",https://www.teien-art-museum.ne.jp/exhibition/160922-1225_artdeco.html,"建物公開展「アール・デコの花弁　旧朝香宮邸の室内空間」,ギャラリートーク,トークイベント「昭和の美術タイルと旧朝香宮邸」,トークイベント「ディテールのアール・デコ　旧朝香宮邸の室内空間」",",,,","【建物公開展「アール・デコの花弁　旧朝香宮邸の室内空間」】アール・デコの花弁　旧朝香宮邸の室内空間sample,【建物公開展「アール・デコの花弁　旧朝香宮邸の室内空間」】ギャラリートークsample,【建物公開展「アール・デコの花弁　旧朝香宮邸の室内空間」】トークイベント「昭和の美術タイルと旧朝香宮邸」sample,【建物公開展「アール・デコの花弁　旧朝香宮邸の室内空間」】トークイベント「ディテールのアール・デコ　旧朝香宮邸の室内空間」sample",,
,,,,,,,,,,,,,,,,1,,"日程：
来館者数の多い時期に開催日を絞り、新緑寄席・向日葵寄席・紅葉寄席・伝統芸能ウィーク・正月寄席・ファミリー寄席を実施した。今年度も1日あたりの開催回数には2回から4回の幅を持たせ、時間も来館者の多い時間帯に合せて実施した。

客数：80,519人
（うち「秋の伝統芸能ウィーク」4,524人、「正月公演」7,341人）

内容：
伝統芸能の継承・普及及び常設展示室の賑わいの演出を目的に、常設展示室5階中村座前で、落語、漫才、紙切り、かっぽれ、太神楽、邦楽、ジャグリング、曲芸などを実演した。内容については新緑寄席やひまわり寄席ではファミリー向けの太神楽やジャグリングなどを中心とした構成とし、特にひまわり寄席では夜間開館にあわせ、講談による怪談を実施するなど、特集的な要素を盛り込んだ。紅葉寄席では芸術の秋に合せて落語などじっくり聞かせる演目とした。さらに今年度も、学校団体の多い11月の平日に児童・生徒へ向けた「秋の伝統芸能ウィーク」を実施し、教育普及プログラムの一環として、事業の充実を図った。正月には恒例のからくり公演をはじめ、筝曲演奏、獅子舞など正月らしい催事や公式マスコットキャラクター「ギボちゃん」との記念撮影などを実施した。
3月後半の土日、祝日と開館記念日には、ファミリー寄席として、太神楽、紙切り、曲独楽、邦楽演奏など多彩な内容の公演を行った。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,,"日程：
来館者数の多い時期に開催日を絞り、新緑寄席・向日葵寄席・紅葉寄席・伝統芸能ウィーク・正月寄席・ファミリー寄席を実施した。今年度も1日あたりの開催回数には2回から4回の幅を持たせ、時間も来館者の多い時間帯に合せて実施した。

客数：80,519人
（うち「秋の伝統芸能ウィーク」4,524人、「正月公演」7,341人）

内容：
伝統芸能の継承・普及及び常設展示室の賑わいの演出を目的に、常設展示室5階中村座前で、落語、漫才、紙切り、かっぽれ、太神楽、邦楽、ジャグリング、曲芸などを実演した。内容については新緑寄席やひまわり寄席ではファミリー向けの太神楽やジャグリングなどを中心とした構成とし、特にひまわり寄席では夜間開館にあわせ、講談による怪談を実施するなど、特集的な要素を盛り込んだ。紅葉寄席では芸術の秋に合せて落語などじっくり聞かせる演目とした。さらに今年度も、学校団体の多い11月の平日に児童・生徒へ向けた「秋の伝統芸能ウィーク」を実施し、教育普及プログラムの一環として、事業の充実を図った。正月には恒例のからくり公演をはじめ、筝曲演奏、獅子舞など正月らしい催事や公式マスコットキャラクター「ギボちゃん」との記念撮影などを実施した。
3月後半の土日、祝日と開館記念日には、ファミリー寄席として、太神楽、紙切り、曲独楽、邦楽演奏など多彩な内容の公演を行った。",,,,"尺八（9月24日）|奇術・落語（9月25日）|筝・尺八（10月1日）|太神楽・落語（10月2日）|尺八・津軽三味線（10月8日）,紙切り・落語（10月9日）|津軽三味線（10月10日）|津軽三味線（10月15日）|奇術・落語（10月16日）|津軽三味線（10月22日）,曲独楽・落語（10月23日）|筝（10月29日）|太神楽・落語（10月30日）|尺八・津軽三味線（11月3日）|津軽三味線（11月5日）,奇術・落語（11月6日）|津軽三味線（11月8日）|三味線・筝・尺八（11月9日）|尺八（11月10日）|三味線・筝・尺八（11月11日）,江戸芸かっぽれ（11月12日）|落語（11月15日）|落語（11月16日）|落語（11月17日）|落語（11月18日）,江戸芸かっぽれ（12月10日）|からくり実演（1月2日）|からくり実演（1月3日）|からくり実演（1月4日）|からくり実演（1月5日）,落語・太神楽（1月7日）|落語・紙切り（1月8日）|落語・奇術（1月9日）|江戸芸かっぽれ（1月14日）|江戸芸かっぽれ（2月11日）,江戸芸かっぽれ（3月11日）|津軽三味線（3月18日）|尺八・筝（3月19日）|津軽三味線（3月20日）|曲独楽・太神楽（3月25日）,和妻・太神楽（3月26日）|太神楽・紙切り（3月28日）",,
,,,,,,,,,,,,,,,,1,,「江戸東京たてもの園」において、現地保存が不可能な文化的・歴史的価値の高い建造物を移築・復元し、保存・展示する。さらに、復元建物の内部では生活民俗資料の展示を行うとともに、町並みを再現・創造し、優れた建築文化の理解に役立つ展示を行う。また、四季折々の行事や遊び、伝統工芸の実演を行う。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,,「江戸東京たてもの園」において、現地保存が不可能な文化的・歴史的価値の高い建造物を移築・復元し、保存・展示する。さらに、復元建物の内部では生活民俗資料の展示を行うとともに、町並みを再現・創造し、優れた建築文化の理解に役立つ展示を行う。また、四季折々の行事や遊び、伝統工芸の実演を行う。,http://www.tatemonoen.jp/restore/intro/,"屋外収蔵,武蔵野の歴史と考古学－江戸東京たてもの園収蔵品展－,川崎平右衛門－武蔵野新田開発の立役者,体験！発見！職人さん,紅葉とたてもののライトアップ,正月飾りづくり,江戸の正月を楽しもう,正月の昔あそび,たてもの園フェスティバル,伝統工芸の実演,綱島家年中行事",",,,,,,,,,,","屋外収蔵,武蔵野の歴史と考古学－江戸東京たてもの園収蔵品展－,川崎平右衛門－武蔵野新田開発の立役者,体験！発見！職人さん,紅葉とたてもののライトアップ,正月飾りづくり,江戸の正月を楽しもう,正月の昔あそび,たてもの園フェスティバル,伝統工芸の実演,綱島家年中行事",,
,,,,,,,,,,,,,,,,1,,"MOTサテライトは、美術館としての活動を館の外に拡張し、外部組織とのネットワークを築きつつ、アート、パフォーマンス、トークなど多彩なプログラムを毎年都内各所で実施する事業である。第1回は、美術館が位置する清澄白河という地域の過去・現在・未来をアートを通してつなぐことをテーマに、点在する施設や各種スペース、団体と協働して展開した。エリア内には、主会場となる拠点（MOTスペース）７箇所、地域の拠点に協力を仰ぐ小規模の展示場所（MOTスポット）18箇所を点在させ、「まち」を借景とし、そこを歩いて魅力を発見する経験も組み込んだ新しい形の展覧会を目指した。

現代美術館が開館して20年の間に発展し、近年特に新しい文化が生まれる場として注目を集めるエリアとなった清澄白河。この地には江戸の中心であった深川の歴史的スポットも多数点在しており、「深川八幡祭」など豊かな下町文化も存在する。新しい文化の刺激により、急速に変化しているこの地域において、アートを媒介に、新旧のコミュニティの出会いを創出し、この地域固有の文化と歴史の可視化を試みた。「まちの記憶を掘り起こす」「まちのかたちについて考える」「まちの個性を発揮する」の3つの軸に従って、現代美術家、建築家、詩人、デザイナーなど多岐に渡る表現媒体を持った参加作家たちが、入念なリサーチをもとに実現した「独自企画」に加えて、特色ある地域拠点との共催事業として、清澄白河にまつわる音や声を集めた架空のラジオ局プロジェクト、gift_＋AS「ラジオ往来往来」と、MOTサテライトの地域における効果を文化人類学の視点から調査するアートト「MOTサテライトアーカイ部」の二つの「フェロー・プロジェクト」を実施した。

さらに、現在注目を集める同地域の15の拠点との連携をはかる「地域パートナー」も組み込んだプログラム構成により、この地の文化的資源を最大限に活用し展開した。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,,"MOTサテライトは、美術館としての活動を館の外に拡張し、外部組織とのネットワークを築きつつ、アート、パフォーマンス、トークなど多彩なプログラムを毎年都内各所で実施する事業である。第1回は、美術館が位置する清澄白河という地域の過去・現在・未来をアートを通してつなぐことをテーマに、点在する施設や各種スペース、団体と協働して展開した。エリア内には、主会場となる拠点（MOTスペース）７箇所、地域の拠点に協力を仰ぐ小規模の展示場所（MOTスポット）18箇所を点在させ、「まち」を借景とし、そこを歩いて魅力を発見する経験も組み込んだ新しい形の展覧会を目指した。

現代美術館が開館して20年の間に発展し、近年特に新しい文化が生まれる場として注目を集めるエリアとなった清澄白河。この地には江戸の中心であった深川の歴史的スポットも多数点在しており、「深川八幡祭」など豊かな下町文化も存在する。新しい文化の刺激により、急速に変化しているこの地域において、アートを媒介に、新旧のコミュニティの出会いを創出し、この地域固有の文化と歴史の可視化を試みた。「まちの記憶を掘り起こす」「まちのかたちについて考える」「まちの個性を発揮する」の3つの軸に従って、現代美術家、建築家、詩人、デザイナーなど多岐に渡る表現媒体を持った参加作家たちが、入念なリサーチをもとに実現した「独自企画」に加えて、特色ある地域拠点との共催事業として、清澄白河にまつわる音や声を集めた架空のラジオ局プロジェクト、gift_＋AS「ラジオ往来往来」と、MOTサテライトの地域における効果を文化人類学の視点から調査するアートト「MOTサテライトアーカイ部」の二つの「フェロー・プロジェクト」を実施した。

さらに、現在注目を集める同地域の15の拠点との連携をはかる「地域パートナー」も組み込んだプログラム構成により、この地の文化的資源を最大限に活用し展開した。",http://www.mot-art-museum.jp/exhibition/mot-satellite-1.html,"パブリック・ミーティング,MOT スペース,MOTスポット,関連プログラム",",,,","パブリック・ミーティング,旧駄菓子屋,グランチェスター・ハウス,深川資料館通り商店街協同組合事務所,赤い庇の旧印刷所,Ｆ邸,平野の旧印刷所,リトルトーキョー,江東区深川江戸資料館、江東区芭蕉記念館、江東区立深川図書館、法苑山 浄心寺、あづま屋文具店、 田巻屋、大久保クリーニング、三河屋精米店、杉原商店、アライズ コーヒーロースターズ、fukadaso CAFE、iki ESPRESSO TOKYO、ALLPRESS ESPRESSO、mamma cafe 151A、しまぶっく、smokebooks、NOiS清澄白河,江東区深川江戸資料館,Coci la elle（コシラエル本店）,アライズ コーヒーロースターズ,吉増剛造プロジェクト「水の音句会ライブ」,カニエ・ナハ＋大原大次郎「深川の漣ツアー」,吉増剛造「深川ポラ・ワークショップ」,カニエ・ナハ「詩と本のワークショップ」,remo［NPO法人記録とメディアのための組織］「読み歩きクルーズ　あの日の“あとを追う”―記録すること、残すこと―」,参加作家による連続トーク,MOTサテライト・クルーズ,gift_＋ＡＳ（フェロー・プロジェクト）,アートト（フェロー・プロジェクト）「MOTサテライト アーカイ部 公開フォーラム」",,
,,,,,,,,,,,,,,,,1,,"フィンセント・ファン・ゴッホ（1853-1890）とポール・ゴーギャン（1848-1903）は、南仏アルルで2カ月の共同生活を送り、ともに制作し、時には激しい議論を重ねながら刺激を与え合った。本展では、この共同生活を軸に彼らの初期から晩年までの画業を辿る62点の油彩画（関連作家を含む）を紹介した。二人の芸術と交流に焦点を当てた日本で初めての展覧会となった。
展覧会は、第1章「近代絵画のパイオニア誕生」、第2章「新しい絵画、新たな刺激と仲間との出会い」、第3章「ポン=タヴェンのゴーギャン、アルルのファン・ゴッホ、そして共同生活へ」、第4章「共同生活後のファン・ゴッホとゴーギャン」、第5章「タヒチのゴーギャン」という5章で構成された。
会場では、二人の絵画を並べその表現の特徴を比較できる空間を設けた。また、手紙から画家の言葉を抜粋し掲出したほか、映像や音声ガイドによって、二人の関係を生き生きと分かりやすく伝える工夫を行なった。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,,"フィンセント・ファン・ゴッホ（1853-1890）とポール・ゴーギャン（1848-1903）は、南仏アルルで2カ月の共同生活を送り、ともに制作し、時には激しい議論を重ねながら刺激を与え合った。本展では、この共同生活を軸に彼らの初期から晩年までの画業を辿る62点の油彩画（関連作家を含む）を紹介した。二人の芸術と交流に焦点を当てた日本で初めての展覧会となった。
展覧会は、第1章「近代絵画のパイオニア誕生」、第2章「新しい絵画、新たな刺激と仲間との出会い」、第3章「ポン=タヴェンのゴーギャン、アルルのファン・ゴッホ、そして共同生活へ」、第4章「共同生活後のファン・ゴッホとゴーギャン」、第5章「タヒチのゴーギャン」という5章で構成された。
会場では、二人の絵画を並べその表現の特徴を比較できる空間を設けた。また、手紙から画家の言葉を抜粋し掲出したほか、映像や音声ガイドによって、二人の関係を生き生きと分かりやすく伝える工夫を行なった。",https://www.tobikan.jp/exhibition/h28_goghandgauguin.html,【特別展】ゴッホとゴーギャン展,,【特別展】ゴッホとゴーギャン展,,
,,,,,,,,,,,,,,,,1,,"◆　オルガン・ア・ラ・カルト
　オーバーホール後上り再開されたオルガン事業は、2013年8月より新シリーズが始まり4年目を迎えた。ランチタイム・パイプオルガンコンサートは全3回500円で、ナイトタイム・パイプオルガンコンサートは全3回1000円で開催。有料公演では、以前急病のため中止となったエドガー・クラップ氏のリサイタルを金沢・愛知と共同招聘で行った。クリスマス公演は提携事業としで実施した。オルガン講座は毎年人気の試奏回でモダン面を取り入れるなど、新たな試みを行った。
",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,,"◆　オルガン・ア・ラ・カルト
　オーバーホール後上り再開されたオルガン事業は、2013年8月より新シリーズが始まり4年目を迎えた。ランチタイム・パイプオルガンコンサートは全3回500円で、ナイトタイム・パイプオルガンコンサートは全3回1000円で開催。有料公演では、以前急病のため中止となったエドガー・クラップ氏のリサイタルを金沢・愛知と共同招聘で行った。クリスマス公演は提携事業としで実施した。オルガン講座は毎年人気の試奏回でモダン面を取り入れるなど、新たな試みを行った。
",,"東京芸術劇場パイプオルガンコンサート vol.21 エドガー・クラップ　オルガン・リサイタル,東京芸術劇場ランチタイム・パイプオルガンコンサート,東京芸術劇場ナイトタイム・パイプオルガンコンサート,パイプオルガン講座",",,,","東京芸術劇場パイプオルガンコンサート vol.21 エドガー・クラップ　オルガン・リサイタル,東京芸術劇場ランチタイム・パイプオルガンコンサート　Vol.118,東京芸術劇場ランチタイム・パイプオルガンコンサート　Vol.119,東京芸術劇場ナイトタイム・パイプオルガンコンサートVol.16,第66回 ～音のレシピのひみつ～　第2回　ヴェルサイユのオルガニストたち",,
,,,,,,,,,,,,,,,,1,,"・教育普及事業【ミュージアムトーク】
学芸員による展示解説。毎月１回（第４土曜日）に実施。復元建造物や特別展について詳しく紹介した。

・教育普及事業【ミュージアムセミナー たてもの園セミナー】
平成28年度は以下内容に焦点を当て、計３回の講演会を行った。
内容：「建築博物館を楽しもう！」

・教育普及事業【スクールプログラム】
「昔暮らし体験」「職場体験学習」等を実施した。

・教育普及事業【子供向け教育普及事業】
情景再現事業の中で子供向け教育普及事業を実施した。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,,"・教育普及事業【ミュージアムトーク】
学芸員による展示解説。毎月１回（第４土曜日）に実施。復元建造物や特別展について詳しく紹介した。

・教育普及事業【ミュージアムセミナー たてもの園セミナー】
平成28年度は以下内容に焦点を当て、計３回の講演会を行った。
内容：「建築博物館を楽しもう！」

・教育普及事業【スクールプログラム】
「昔暮らし体験」「職場体験学習」等を実施した。

・教育普及事業【子供向け教育普及事業】
情景再現事業の中で子供向け教育普及事業を実施した。",,"【ミュージアムトーク】 ,【ミュージアムセミナー たてもの園セミナー】 ,【スクールプログラム】",",,","民家の間取りと格式|鉄道の歴史と都電|川野商店|大川邸とクリスマス|子宝湯と東京の銭湯,特別展「川崎平右衛門」みどころ|享保の改革と川崎平右衛門|万世橋交番,建築博物館を楽しもう！①「国立近現代建築資料館―その役割と楽しみ方―」|建築博物館を楽しもう！②「海外の事例に学ぶ―イギリス、アメリカの建築博物館事情―」|建築博物館を楽しもう！③「明治村からたてもの園へ―ライバルへのメッセージ―」,スクールプログラム",,
,,,,,,,,,,,,,,,,1,,"博物館ボランティア（本館）

市民とのコミュニケーションを豊かにし、市民の協力や協働のもとに生涯学習社会にふさわしい開かれた博物館を目指して館の活性化を図るため、江戸東京博物館(本館)では平成9年10月1日からボランティア制度の試行、実施を行った。

本年は、本館336名体制により、本館では11,021件のガイド等を行った。

本年は、本館展示ガイドボランティア(外国語)の募集を6年ぶりに行い、本館336名の体制となって、11,021件のガイドを行った。",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2016,,"博物館ボランティア（本館）

市民とのコミュニケーションを豊かにし、市民の協力や協働のもとに生涯学習社会にふさわしい開かれた博物館を目指して館の活性化を図るため、江戸東京博物館(本館)では平成9年10月1日からボランティア制度の試行、実施を行った。

本年は、本館336名体制により、本館では11,021件のガイド等を行った。

本年は、本館展示ガイドボランティア(外国語)の募集を6年ぶりに行い、本館336名の体制となって、11,021件のガイドを行った。",,,,博物館ボランティア,,
