id,Title,開催年度,主催,開催時間,期間_date,期間_date_to,単日/複数日_date
20,プログラムテストデータ,,,,,,
68,プログラムテストデータ２,,,,,,
208,サブプログラム,,,,,,
273,TOPコレクション東京・TOKYO,2018,,"a:1:{s:4:""time"";b:0;}",20181213,20190129,
274,ワークショップ★該当事業不明削除対象,2018,,"a:1:{s:4:""time"";b:0;}",20181213,20190129,
281,"プログラム 1",2015,,"a:1:{s:4:""time"";b:0;}",,,
282,"プログラム 2",2015,,"a:1:{s:4:""time"";b:0;}",,,
283,"プログラム 3",2015,,"a:1:{s:4:""time"";b:0;}",,,
323,オフサイト展示・ガイドツアー,2016,東京都|東京都写真美術館|アーツカウンシル東京|日本経済新聞社,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""10:00:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:0:"""";}}}",20170210,20170226,"20170211,20170225"
334,日仏会館ギャラリー,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""10:00:00"";s:7:""time_to"";s:8:""20:00:00"";s:10:""time_bikou"";s:20:""最終日18:00まで"";}}}",20170210,20170226,
335,レイ・レイ,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,"a:1:{s:4:""time"";b:0;}",20170210,20170212,20170210
336,ガブリエラ・マンガノ＆シルヴァーナ・マンガノ《そこはそこにない》,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""17:30:00"";s:7:""time_to"";s:8:""18:00:00"";s:10:""time_bikou"";s:0:"""";}}}",20170210,20170212,
337,上映,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,"a:1:{s:4:""time"";b:0;}",20170210,20170226,
338,オフサイト展示,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,"a:1:{s:4:""time"";b:0;}",20170210,20170226,
339,豊嶋康子,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社,"a:1:{s:4:""time"";b:0;}",20170210,20170212,20170211
340,ロバート・ノース＆アントワネット・デ・ヨング,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,"a:1:{s:4:""time"";b:0;}",20170210,20170212,20170212
341,荒木博志、岡田邦雄、佐々木聖（地域連携プログラム：LIBRAIRIE6）,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,"a:1:{s:4:""time"";b:0;}",20170210,20170212,20170214
342,崟利子,2016,東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,"a:1:{s:4:""time"";b:0;}",20170210,20170212,20170219
