Title,id,WEBサイトのアドレス,開催年度,"単日/複数日 - 期間",開催時間,公演回数／実施回数（講演、ワークショップ等）,人数/参加者数,主催,共催,協賛,協力,後援,期間_date,期間_date_to,単日/複数日_date
プログラムテストデータ,20,,,,,,,,,,,,,,
プログラムテストデータ２,68,,,,,,,,,,,,,,
サブプログラム,208,,,,,,,,,,,,,,
TOPコレクション東京・TOKYO,273,,2018,期間,"a:1:{s:4:""time"";b:0;}",,,,,株式会社資生堂,,タイ王国大使館,20181213,20190129,
ワークショップ,274,,2018,期間,"a:1:{s:4:""time"";b:0;}",,,,,株式会社資生堂,,タイ王国大使館,20181213,20190129,
"プログラム 1",281,,2015,単日/複数日,"a:1:{s:4:""time"";b:0;}",,,,,,,,,,
"プログラム 2",282,,2015,単日/複数日,"a:1:{s:4:""time"";b:0;}",,,,,,,,,,
"プログラム 3",283,,2015,単日/複数日,"a:1:{s:4:""time"";b:0;}",,,,,,,,,,
オフサイト展示・ガイドツアー,323,https://www.yebizo.com/jp/program/detail/11-02,2016,単日/複数日,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""10:00:00"";s:7:""time_to"";s:0:"""";s:10:""time_bikou"";s:0:"""";}}}",2,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都|東京都写真美術館|アーツカウンシル東京|日本経済新聞社,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",20170210,20170226,"20170211,20170225"
日仏会館ギャラリー,334,https://www.yebizo.com/assets/img/uploads/2016/12/others/ud/161209_Yebizo_press.pdf,2016,期間,"a:1:{s:4:""time"";a:1:{i:0;a:3:{s:9:""time_from"";s:8:""10:00:00"";s:7:""time_to"";s:8:""20:00:00"";s:10:""time_bikou"";s:20:""最終日18:00まで"";}}}",15,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:0:"""";s:6:""備考"";s:0:"""";}",東京都写真美術館|アーツカウンシル東京|日本経済新聞社|東京都,サッポロ不動産開発株式会社|公益財団法人日仏会館,全日本空輸株式会社|オーストラリア大使館|オーストリア大使館|オーストリア文化フォーラム|サッポロビール株式会社|東京都写真美術館支援会員,KyotoDU|ぴあ株式会社|ドゥービー・カンパニー株式会社|株式会社トリプルセブン・インタラクティブ|株式会社ロボット,"ＴＢＳ|J-WAVE 81.3FM",20170210,20170226,
