id,Title,WEBサイトURL,決算額_year,決算額_price
96,"オペラ「眠れる美女～House of theSleeping Beauties～」",http://www.t-bunka.jp/old/hsb/introduction.html,2016,
321,"総合開館20周年記念事業 第９回恵比寿映像祭「マルチプルな未来」",https://www.yebizo.com/2017/jp/,2016,
367,建物公開展「アール・デコの花弁　旧朝香宮邸の室内空間」sample,https://www.teien-art-museum.ne.jp/exhibition/160922-1225_artdeco.html,2016,
374,えどはく寄席,,2016,
385,屋外収蔵,http://www.tatemonoen.jp/restore/intro/,2016,
396,"ＭＯＴサテライト 2017 春　往来往来",http://www.mot-art-museum.jp/exhibition/mot-satellite-1.html,2016,
407,【特別展】ゴッホとゴーギャン展,https://www.tobikan.jp/exhibition/h28_goghandgauguin.html,2016,
413,オルガン・ア・ラ・カルト,,2016,
444,教育普及事業,,2016,
456,博物館ボランティア,,2016,
458,ビジターセンター展示,,2016,
467,東京キャラバン,https://www.artscouncil-tokyo.jp/ja/what-we-do/creation/festivals/tokyocaravan/26808/,2016,
469,伝統芸能公演,,2016,
480,フレッシュ名曲コンサート,https://www.rekibun.or.jp/about/project/culture/concert/,2016,
512,建物公開展「アール・デコの花弁　旧朝香宮邸の室内空間」,https://www.teien-art-museum.ne.jp/exhibition/160922-1225_artdeco.html,2016,
525,ミュージアム・コンサート," https://www.teien-art-museum.ne.jp/programs/concert_2016.html",2016,
534,"【企画展示】クリスチャン・ボルタンスキー　アニミタス _さざめく亡霊たち"," https://www.teien-art-museum.ne.jp/exhibition/160922-1225_boltanski.html",2016,
536,,,,
546,【企画展示】並河靖之七宝展　明治七宝の誘惑―透明な黒の感性,https://www.teien-art-museum.ne.jp/exhibition/170114-0409_namikawa.html,2016,
558,教育普及等,https://topmuseum.jp/contents/pages/education_index.html,2016,
599,ワークショップ等,,"2016,2017",","
609,イグニションボックス,,2016,
612,"【収蔵展】総合開館20周年記念事業 山崎博　計画と偶然",http://topmuseum.jp/contents/exhibition/index-2574.html,2016,
616,"【企画展】リニューアル・オープン／総合開館20周年記念事業 杉本博司　ロスト・ヒューマン",http://topmuseum.jp/contents/exhibition/index-2565.html,2016,
622,"【収蔵展】総合開館20周年記念事業 ＴＯＰコレクション 東京・ＴＯＫＹＯ",http://topmuseum.jp/contents/exhibition/index-2570.html,2016,
628,庭園公開,https://www.teien-art-museum.ne.jp/garden/,2016,
635,ウェルカムルームの運営,https://www.teien-art-museum.ne.jp/programs/learningprogram.html,2016,
655,教育普及事業,,2016,
685,アウトリーチプログラム（ＧＯ　ＷＥＳＴ　西へ！！多摩地区限定アーティスト1日学校訪問）,,,
687,【企画展】総合開館20周年記念事業　東京・TOKYO　日本の新進作家vol.13,http://topmuseum.jp/contents/exhibition/index-2568.html,2016,
692,"【収蔵展】総合開館20周年記念事業　アピチャッポン・ウィーラセタクン 亡霊たち",http://topmuseum.jp/contents/exhibition/index-2572.html,2016,
694,"【収蔵展】総合開館20周年記念事業 夜明けまえ 知られざる日本写真開拓史 総集編",http://topmuseum.jp/contents/exhibition/index-2576.html,2016,
718,コンサートオペラシリーズ　モーツァルト／歌劇『コジ･ファン･トゥッテ』,http://www.geigeki.jp/performance/concert092/,2016,
722,シアターオペラシリーズ　プッチーニ／歌劇『蝶々夫人』,http://www.geigeki.jp/performance/concert099/,2016,
724,"TOKYO SHINTORA MATSURI 東京 新虎まつり",https://www.artscouncil-tokyo.jp/ja/what-we-do/creation/festivals/shintora/13715/,2016,
736,"日本橋 熈代祭　江戸あそび～伝統文化フェスティバル～",https://www.artscouncil-tokyo.jp/ja/what-we-do/creation/festivals/nihonbashi/14591/,2016,
754,"【誘致展】世界報道写真展2016 WORLD PRESS PHOTO 2016",http://topmuseum.jp/contents/exhibition/index-2580.html,2016,
755,【誘致展】写真新世紀東京展2016,http://topmuseum.jp/contents/exhibition/index-2610.html,2016,
758,【誘致展】第17回　上野彦馬賞　九州産業大学フォトコンテスト受賞作品展,http://topmuseum.jp/contents/exhibition/index-2612.html,2016,
760,"【誘致展】APAアワード2017 第45回 公益社団法人日本広告写真家協会公募展",http://topmuseum.jp/contents/exhibition/index-2608.html,2016,
762,"【誘致展】フォトジャーナリスト長倉洋海の眼 地を這い、未来へ駆ける",http://topmuseum.jp/contents/exhibition/index-2614.html,2016,
764,実験劇場等,,2016,
782,国際交流事業,,2016,
785,とっぷ雅楽,http://topmuseum.jp/contents/extra/2017newyear.pdf,2016,
787,図書室等の運営,http://topmuseum.jp/contents/pages/library_index.html,2016,
789,自主公演/定期演奏会,,2016,
792,自主公演/プロムナードコンサート,,2016,
793,自主公演/特別演奏会,,2016,
806,"世界のマエストロシリーズ 読売日本交響楽団",http://www.geigeki.jp/performance/concert098/,2016,
808,クラシカル・プレイヤーズ東京　演奏会,,2016,
813,海外オーケストラシリーズ,,2016,
815,0才から聴こう！！／４才から聴こう！！春休みコンサート,http://www.geigeki.jp/performance/concert106/,2016,
820,神楽坂まち舞台・大江戸めぐり,https://www.artscouncil-tokyo.jp/ja/events/14524/,2016,
822,東京大茶会,https://www.artscouncil-tokyo.jp/ja/what-we-do/creation/festivals/tokyo-grand-tea-ceremony/11468/,2016,
837,プレミアムコンサート～未来へのハーモニー～,https://www.artscouncil-tokyo.jp/ja/what-we-do/creation/festivals/premiun-concert/11474/,2016,
852,"ミュージック・プログラム・トーキョー「Enjoy Concerts!」",,2016,
875,共催・提携公演,,2016,
1221,【特別展】ポンピドゥー・センター傑作展─ピカソ、マティス、デュシャンからクリストまで─,https://www.tobikan.jp/exhibition/h28_pompidou.html,2016,
1234,【開館90周年記念展】木々との対話──再生をめぐる5つの風景,https://www.tobikan.jp/exhibition/h28_treesofllife.html,2016,
1236,"【連携展】第5回 都美セレクション グループ展",https://www.tobikan.jp/exhibition/h28_groupshow.html,2016,
1243,常設展示,,2016,
1260,"ミュージック・プログラム・トーキョーMusic　EducationProgram アウトリーチ・コンサート",,2016,
1273,"ミュージック・プログラム・トーキョーMusic　EducationProgram アウトリーチ・ワークショップ（クリニック）",,2016,
