Title,id,会場(投稿),開催年度,多言語対応の有無,多言語対応（例）ウェブサイトの多言語化,バリアフリー対応の有無,バリアフリー対応策（例）,組織委員会の認証の有無,画像等データの有無,決算額_year,決算額_price
ワルツの森のおんがく隊（新制作A）（2016年10月9日）,3520,"文京シビックセンター - レクリエーションホール",2016,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像,,
真夜中の音楽ミュージアム（新制作B）（2016年10月9日）,3523,"文京シビックセンター - 練習室1",2016,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像,,
"東京芸術劇場シアターオペラvol.11 全国共同制作プロジェクト  プッチーニ／歌劇『トスカ』《新演出》 全3幕 日本語字幕付 イタリア語上演",3525,"東京芸術劇場 - コンサートホール",2017,無し,,無し,,,なし,2017,
"タネまき、タネまき、大きくなあれ！ 1)19ヶ月～35ヶ月（2016年10月9日）",3526,"文京シビックセンター - 多目的室",2016,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像,,
"タネまき、タネまき、大きくなあれ！ 2）3歳～4歳（2016年10月9日）",3527,"文京シビックセンター - 多目的室",2016,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像,,
"辻井伸行 音楽と絵画コンサート",3529,"東京芸術劇場 - コンサートホール",2017,無し,,無し,,,なし,2017,
ボディ・ビート（2016年10月9日）,3530,"東京文化会館 - 小ホール",2016,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像,,
"なぜなぜルーレット 1）3歳～4歳（2016年10月9日）",3531,"東京文化会館 - リハーサル室B",2016,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像,,
"なぜなぜルーレット 2）5歳～6歳（2016年10月9日）",3532,"東京文化会館 - リハーサル室B",2016,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像,,
"めざせ！おんがく忍者！ 1）3歳～4歳（2016年10月10日）",3533,"東京文化会館 - リハーサル室B",2016,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像,,
"めざせ！おんがく忍者！ 2）5歳～6歳（2016年10月10日）",3534,"東京文化会館 - リハーサル室B",2016,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像,,
クラシックであそぼう！（2016年10月10日）,3535,"東京文化会館 - 小ホール",2016,無し,,無し,バリアフリー対応施設,なし,あり・チラシ画像,,
"東京芸術劇場パイプオルガンコンサート vol.22  ～聖夜に贈るクリスマス･オラトリオ～",3537,"東京芸術劇場 - コンサートホール",2017,無し,,無し,,,なし,2017,
