id,"Post Type",Title,Content,会場の所属する自治体,会場の存在する自治体名
909,kaijyo,テスト会場★削除★使用しないこと ,,都外,埼玉県
910,kaijyo,テスト会場★削除★使用しないこと ,,都外,
911,kaijyo,会場テスト★削除★使用しないこと ,,都内-区,
912,kaijyo,東京会場★削除★使用しないこと ,,都内-区,
913,kaijyo,東京文化会館,,都内-区,台東区
914,kaijyo,東京都写真美術館,,都内-区,目黒区
915,kaijyo,葛飾区立柴原小学校,,都内-区,葛飾区
916,kaijyo,都立木場公園,,都内-区,江東区
917,kaijyo,東京都現代美術館,,都内-区,江東区
918,kaijyo,品川区立小山小学校,,都内-区,品川区
919,kaijyo,墨田区立緑小学校,,都内-区,墨田区
920,kaijyo,港区立笄小学校,,都内-区,港区
921,kaijyo,大田区立開桜小学校,,都内-区,大田区
922,kaijyo,東京都立八王子盲学校,,都内-市,八王子市
923,kaijyo,杉並区立大宮小学校,,都内-区,杉並区
924,kaijyo,港区立青山小学校,,都内-区,港区
925,kaijyo,東京都立久留米特別支援学校,,都内-市,東久留米市
926,kaijyo,調布市立第一小学校,,都内-区,調布市
927,kaijyo,桐朋学園小学校,,都内-市,国立市
928,kaijyo,東星学園小学校,,都内-市,清瀬市
929,kaijyo,八王子市立第五小学校,,都内-市,八王子市
930,kaijyo,奥多摩町立古里小学校,,都内-町,西多摩郡奥多摩町
931,kaijyo,調布市立八雲台小学校,,都内-市,調布市
932,kaijyo,明法中学・高等学校,,都内-市,東村山市
933,kaijyo,|2F展示室★削除★使用しないこと ,,都内-区,
934,kaijyo,八王子市立上川口小学校,,都内-市,八王子市
935,kaijyo,|B1F展示室★削除★使用しないこと ,,都内-区,
936,kaijyo,府中市立府中第十小学校,,都内-市,府中市
937,kaijyo,小平市立小平第十二小学校,,都内-市,小平市
938,kaijyo,町田市立鶴川第三小学校,,都内-市,
939,kaijyo,稲城市立平尾小学校,,都内-市,稲城市
940,kaijyo,町田市立成瀬中央小学校,,都内-市,町田市
941,kaijyo,東村山市立萩山小学校,,都内-市,東村山市
942,kaijyo,町田市立本町田東小学校,,都内-市,町田市
943,kaijyo,東京都立八王子特別支援学校,,都内-市,八王子市
944,kaijyo,台東区立金竜小学校,,都内-区,台東区
945,kaijyo,台東区立田原小学校,,都内-区,台東区
946,kaijyo,世田谷区立八幡小学校,,都内-区,世田谷区
947,kaijyo,台東区立松葉小学校,,都内-区,台東区
948,kaijyo,台東区立東泉小学校,,都内-区,台東区
