ID,Title,"Tokyo FESTIVALの分類",WEBサイトのアドレス,概要,対象,会場(投稿),会場の所属する自治体,会場の存在する自治体名,主催,協賛,協力,後援,申請自治体,開催年度,"単日/複数日 - 期間",開催時間,開催日数（展覧会・公演）,公演回数／実施回数（講演、ワークショップ等）,人数/参加者数,料金,出演者数／出展アーティスト数／登壇者数等,出演者数／出展アーティスト数／登壇者数等（外国人）,ジャンル,多言語対応の有無,多言語対応（例）ウェブサイトの多言語化,多言語対応（例）音声ガイドの多言語化,多言語対応（例）キャプション・字幕の多言語化,多言語対応（例）その他の多言語化,多言語対応（例）その他の多言語化（内容）,バリアフリー対応の有無,バリアフリー対応策（例）,バリアフリー対応策（例）その他,組織委員会の認証の有無,画像等データの有無,画像,動画URL,関連プログラム名,決算額_year,決算額_price,期間_date,期間_date_to,単日/複数日_date,国_country,国_num
1625,幕末維新期における江戸の人材派遣業②,1,,"都市歴史研究室が行っている調査研究活動の成果をわかりやすく解説する講座。

[実施日]平成29年2月21日（火）

[会場]江戸東京博物館(ホール、会議室)

[受講料]一般 1,000円(一部例外あり、セット割引あり) 友の会、ボランティア 800円(同上)

[講師]市川 寛明

[受講者数]111人",,"東京都江戸東京博物館 - 1F 貸出施設 会議室|東京都江戸東京博物館 - 1F 貸出施設 大ホール",,,東京都江戸東京博物館,,,,,2016,2016,,単日/複数日,20170221,"a:1:{s:4:""time"";b:0;}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""111"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:196:""<p class=""p1"">一般<span class=""s1""> 1</span>,<span class=""s1"">000</span>円(一部例外あり、セット割引あり) 友の会、ボランティア<span class=""s1""> 800</span>円(同上)</p>
"";}",1,,講演会・シンポジウム,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,,,,,
1626,福井県連携講座「由利公正という個性」,1,,"都市歴史研究室が行っている調査研究活動の成果をわかりやすく解説する講座。

[実施日]平成29年2月23日（木）

[会場]江戸東京博物館(ホール、会議室)

[受講料]一般 1,000円(一部例外あり、セット割引あり) 友の会、ボランティア 800円(同上)

[講師]角鹿 尚計

[受講者数]124人",,"東京都江戸東京博物館 - 1F 貸出施設 会議室|東京都江戸東京博物館 - 1F 貸出施設 大ホール",,,東京都江戸東京博物館,,,,,2016,2016,,単日/複数日,20170223,"a:1:{s:4:""time"";b:0;}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""124"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:196:""<p class=""p1"">一般<span class=""s1""> 1</span>,<span class=""s1"">000</span>円(一部例外あり、セット割引あり) 友の会、ボランティア<span class=""s1""> 800</span>円(同上)</p>
"";}",1,,講演会・シンポジウム,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,,,,,
1627,江戸幕府の最高権力者徳川将軍②歴代将軍一覧,1,,"都市歴史研究室が行っている調査研究活動の成果をわかりやすく解説する講座。

[実施日]平成29年2月24日（金）

[会場]江戸東京博物館(ホール、会議室)

[受講料]一般 1,000円(一部例外あり、セット割引あり) 友の会、ボランティア 800円(同上)

[講師]近松 鴻二

[受講者数]277人",,"東京都江戸東京博物館 - 1F 貸出施設 会議室|東京都江戸東京博物館 - 1F 貸出施設 大ホール",,,東京都江戸東京博物館,,,,,2016,2016,,単日/複数日,20170224,"a:1:{s:4:""time"";b:0;}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""277"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:196:""<p class=""p1"">一般<span class=""s1""> 1</span>,<span class=""s1"">000</span>円(一部例外あり、セット割引あり) 友の会、ボランティア<span class=""s1""> 800</span>円(同上)</p>
"";}",1,,講演会・シンポジウム,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,,,,,
1628,特別展「江戸と北京」関連講座①「老北京」の年中行事,1,,"都市歴史研究室が行っている調査研究活動の成果をわかりやすく解説する講座。

[実施日]平成29年3月1日（水）

[会場]江戸東京博物館(ホール、会議室)

[受講料]一般 1,000円(一部例外あり、セット割引あり) 友の会、ボランティア 800円(同上)

[講師]周 星

[受講者数]103人",,"東京都江戸東京博物館 - 1F 貸出施設 会議室|東京都江戸東京博物館 - 1F 貸出施設 大ホール",,,東京都江戸東京博物館,,,,,2016,2016,,単日/複数日,20170301,"a:1:{s:4:""time"";b:0;}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""103"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:196:""<p class=""p1"">一般<span class=""s1""> 1</span>,<span class=""s1"">000</span>円(一部例外あり、セット割引あり) 友の会、ボランティア<span class=""s1""> 800</span>円(同上)</p>
"";}",1,,講演会・シンポジウム,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,「江戸と北京-18世紀の都市と暮らし」展,,,,
1629,特別展「江戸と北京」関連講座②絵巻から見た江戸と北京の都市生活―「江戸と北京」展のみどころ―,1,,"都市歴史研究室が行っている調査研究活動の成果をわかりやすく解説する講座。

[実施日]平成29年3月8日（水）

[会場]江戸東京博物館(ホール、会議室)

[受講料]一般 1,000円(一部例外あり、セット割引あり) 友の会、ボランティア 800円(同上)

[講師]江里口友子

[受講者数]114人",,"東京都江戸東京博物館 - 1F 貸出施設 会議室|東京都江戸東京博物館 - 1F 貸出施設 大ホール",,,東京都江戸東京博物館,,,,,2016,2016,,単日/複数日,20170308,"a:1:{s:4:""time"";b:0;}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""114"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:196:""<p class=""p1"">一般<span class=""s1""> 1</span>,<span class=""s1"">000</span>円(一部例外あり、セット割引あり) 友の会、ボランティア<span class=""s1""> 800</span>円(同上)</p>
"";}",1,,講演会・シンポジウム,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,「江戸と北京-18世紀の都市と暮らし」展,,,,
1630,千住の文化と美術―琳派と文晁の系譜―③千住と文晁の系譜,1,,"都市歴史研究室が行っている調査研究活動の成果をわかりやすく解説する講座。

[実施日]平成29年3月9日（木）

[会場]江戸東京博物館(ホール、会議室)

[受講料]一般 1,000円(一部例外あり、セット割引あり) 友の会、ボランティア 800円(同上)

[講師]真田 尊光

[受講者数]126人",,"東京都江戸東京博物館 - 1F 貸出施設 会議室|東京都江戸東京博物館 - 1F 貸出施設 大ホール",,,東京都江戸東京博物館,,,,,2016,2016,,単日/複数日,20170309,"a:1:{s:4:""time"";b:0;}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""126"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:196:""<p class=""p1"">一般<span class=""s1""> 1</span>,<span class=""s1"">000</span>円(一部例外あり、セット割引あり) 友の会、ボランティア<span class=""s1""> 800</span>円(同上)</p>
"";}",1,,講演会・シンポジウム,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,,,,,
1631,企画展「戦時下のこどもたち」関連講座①「少国民」のくらし―戦時下東京のこどもたち展のみどころ―,1,,"都市歴史研究室が行っている調査研究活動の成果をわかりやすく解説する講座。

[実施日]平成29年3月10日（金）

[会場]江戸東京博物館(ホール、会議室)

[受講料]一般 1,000円(一部例外あり、セット割引あり) 友の会、ボランティア 800円(同上)

[講師]松井かおる

[受講者数]48人",,"東京都江戸東京博物館 - 1F 貸出施設 会議室|東京都江戸東京博物館 - 1F 貸出施設 大ホール",,,東京都江戸東京博物館|東京都,,,,,2017,2016,,単日/複数日,20170310,"a:1:{s:4:""time"";b:0;}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""48"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:196:""<p class=""p1"">一般<span class=""s1""> 1</span>,<span class=""s1"">000</span>円(一部例外あり、セット割引あり) 友の会、ボランティア<span class=""s1""> 800</span>円(同上)</p>
"";}",1,,講演会・シンポジウム,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,【企画展】戦時下東京のこどもたち,,,,
1632,異国に贈られた屏風絵,1,,"都市歴史研究室が行っている調査研究活動の成果をわかりやすく解説する講座。

[実施日]平成29年3月14日（火）

[会場]江戸東京博物館(ホール、会議室)

[受講料]一般 1,000円(一部例外あり、セット割引あり) 友の会、ボランティア 800円(同上)

[講師]朴 美姫

[受講者数]76人",,"東京都江戸東京博物館 - 1F 貸出施設 会議室|東京都江戸東京博物館 - 1F 貸出施設 大ホール",,,東京都江戸東京博物館,,,,,2016,2016,,単日/複数日,20170314,"a:1:{s:4:""time"";b:0;}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""76"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:196:""<p class=""p1"">一般<span class=""s1""> 1</span>,<span class=""s1"">000</span>円(一部例外あり、セット割引あり) 友の会、ボランティア<span class=""s1""> 800</span>円(同上)</p>
"";}",1,,講演会・シンポジウム,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,,,,,
1633,新・日本建築家列伝「フランク・ロイド・ライトと日本」①フランク・ロイド・ライトと日本への影響,1,,"都市歴史研究室が行っている調査研究活動の成果をわかりやすく解説する講座。

[実施日]平成29年3月16日（木）

[会場]江戸東京博物館(ホール、会議室)

[受講料]一般 1,000円(一部例外あり、セット割引あり) 友の会、ボランティア 800円(同上)

[講師]米山 勇

[受講者数]140人",,"東京都江戸東京博物館 - 1F 貸出施設 会議室|東京都江戸東京博物館 - 1F 貸出施設 大ホール",,,東京都江戸東京博物館,,,,,2016,2016,,単日/複数日,20170316,"a:1:{s:4:""time"";b:0;}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:3:""140"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:196:""<p class=""p1"">一般<span class=""s1""> 1</span>,<span class=""s1"">000</span>円(一部例外あり、セット割引あり) 友の会、ボランティア<span class=""s1""> 800</span>円(同上)</p>
"";}",1,,講演会・シンポジウム,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,,,,,
1634,企画展「戦時下のこどもたち」関連講座②女学生の勤労動員と風船爆弾,1,,"都市歴史研究室が行っている調査研究活動の成果をわかりやすく解説する講座。

[実施日]平成29年3月17日（金）

[会場]江戸東京博物館(ホール、会議室)

[受講料]一般 1,000円(一部例外あり、セット割引あり) 友の会、ボランティア 800円(同上)

[講師]松井かおる

[受講者数]50人",,"東京都江戸東京博物館 - 1F 貸出施設 会議室|東京都江戸東京博物館 - 1F 貸出施設 大ホール",,,東京都江戸東京博物館,,,,,2016,2016,,単日/複数日,20170317,"a:1:{s:4:""time"";b:0;}",1,1,"a:4:{s:15:""number_mokuhyou"";s:0:"""";s:14:""number_sokuhou"";s:0:"""";s:14:""number_kakutei"";s:2:""50"";s:6:""備考"";s:0:"""";}","a:2:{s:14:""ryoukin_select"";s:6:""有料"";s:13:""ryoukin_bikou"";s:196:""<p class=""p1"">一般<span class=""s1""> 1</span>,<span class=""s1"">000</span>円(一部例外あり、セット割引あり) 友の会、ボランティア<span class=""s1""> 800</span>円(同上)</p>
"";}",1,,講演会・シンポジウム,無し,,,,,,有り,バリアフリー対応施設,,なし,なし,,,【企画展】戦時下東京のこどもたち,,,,
